record_id,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin,year_ordinal,inferred_year_from_grades
67,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Private life problems,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Lack of motivation,3.0,Yes,5.0,5.0,You do not care about,5-7 hours,4.0,9.0,7.0,7.0,8.0,14.0,11.0,12.0,,,,,,,,,,,,Very High,High,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not having a good (powerful) computer,You do not care about,Very High,High,Very High,High,Moderate,High,High,High,Moderate,,,,,,,,,,,,,,2,1.0
68,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials",No,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,2.0,5.0,You do not care about,8 hours or more,1.0,8.0,5.0,4.0,6.0,14.0,11.0,12.0,,,,,,,,,,,,Very High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,High,High,Very High,Moderate,High,High,Moderate,High,Moderate,,,,,,,,,,,,,,2,1.0
69,Male,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,6.0,8.0,7.0,6.0,14.0,12.0,12.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,Negatively,High,High,High,High,High,High,High,High,Low,,,,,,,,,,,,,,2,1.0
70,Female,Second year,Science,26-33,In your room (dorms),In peer,Lectures;Learning by practicing;Mind mapping and visualization,Books;YouTube videos,No,Teachers' teaching method,Pressure,Private life problems,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,5.0,3.0,Positively,5-7 hours,3.0,7.0,6.0,6.0,7.0,13.0,12.0,13.0,,,,,,,Moderate,High,High,High,High,High,High,High,Moderate,Low,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
71,Female,Second year,Mathematics,34-41,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,No,Pressure,Lack of time,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,3.0,5.0,You do not care about,5-7 hours,4.0,8.0,5.0,6.0,6.0,13.0,12.0,13.0,,,,,,,Moderate,Moderate,Moderate,High,Very High,High,Moderate,High,Moderate,Moderate,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
72,Male,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,4.0,5.0,You do not care about,8 hours or more,4.0,6.0,7.0,6.0,5.0,13.0,12.0,13.0,11.0,,,,,,Moderate,Moderate,High,High,High,Moderate,High,High,High,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,2.0
73,Male,Third year,Mathematics,10-17,In your room (dorms),In peer,Lectures;Project-based learning,Online documents;YouTube videos,No,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,Yes,4.0,4.0,Negatively,8 hours or more,4.0,7.0,6.0,7.0,5.0,13.0,12.0,13.0,12.0,11.0,12.0,,,,High,High,,,High,Moderate,High,,Moderate,High,Moderate,,High,Moderate,Moderate,Moderate,Low,Very High,High,Moderate,High,Moderate,High,Moderate,Low,High,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
74,Male,Second year,Technical maths,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",No,Teaching language,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Lack of motivation,1.0,Yes,2.0,3.0,You do not care about,8 hours or more,3.0,2.0,6.0,6.0,8.0,13.0,13.0,13.0,,,,,,,,,,,,High,High,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,High,High,Very High,High,Moderate,High,Very High,High,Moderate,,,,,,,,,,,,,,2,1.0
75,Female,Second year,Science,18-25,In the school's library,With a group,Learning by practicing;Project-based learning;Mind mapping and visualization,YouTube videos,Yes,Lack of time,Bad quality of internet,Private life problems,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,Yes,4.0,4.0,Positively,5-7 hours,5.0,8.0,6.0,7.0,7.0,13.0,13.0,13.0,,,,,,,Moderate,Moderate,Moderate,Moderate,Very High,High,High,High,Moderate,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
76,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,Online documents,No,Pressure,Teaching language,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Lack of motivation,2.0,Yes,2.0,3.0,You do not care about,5-7 hours,4.0,6.0,8.0,9.0,7.0,13.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,High,High,High,High,Moderate,High,High,High,High,,,,,,,,,,,,,,2,1.0
77,Female,Second year,Mathematics,34-41,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,Yes,5.0,5.0,You do not care about,5-7 hours,2.0,10.0,9.0,7.0,8.0,13.0,13.0,13.0,,,,,,,Moderate,Moderate,Moderate,High,High,High,High,High,Moderate,Moderate,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,Yes,Private life problems,Lack of time,Pressure,Teachers' teaching method,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",1.0,No,2.0,3.0,You do not care about,8 hours or more,2.0,7.0,5.0,5.0,5.0,13.0,13.0,13.0,12.0,8.0,10.0,9.0,11.0,10.0,High,High,High,High,Very High,Low,Moderate,Moderate,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,4,3.0
79,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,Online courses and tutorials,Online tutorials;YouTube videos;Private courses,No,Teachers' teaching method,Lack of time,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,Yes,4.0,4.0,Negatively,5-7 hours,3.0,8.0,8.0,7.0,7.0,13.0,13.0,13.0,,,,,,,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Very High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,Lack of time,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,13.0,13.0,13.0,12.0,14.0,13.0,13.0,13.0,13.0,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,4,3.0
81,Female,Second year,Science,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat Gpt,No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,4.0,4.0,Positively,5-7 hours,2.0,7.0,7.0,6.0,5.0,13.0,13.0,13.0,,,,,,,High,High,High,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
82,Male,Second year,Technical maths,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Pressure,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,No,1.0,2.0,You do not care about,8 hours or more,1.0,3.0,4.0,2.0,3.0,13.0,13.0,13.0,,,,,,,Moderate,High,Very Low,Moderate,Very Low,Very Low,Moderate,Low,Low,Moderate,Moderate,Very Low,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
83,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Mind mapping and visualization;Online courses and tutorials,Books;Online documents,Yes,Lack of time,Pressure,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Bad quality of internet,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,No,3.0,3.0,Negatively,8 hours or more,2.0,7.0,6.0,6.0,7.0,13.0,13.0,13.0,13.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,Yes,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,Yes,4.0,4.0,You do not care about,5-7 hours,4.0,9.0,7.0,9.0,8.0,13.0,13.0,13.0,12.0,11.0,12.0,11.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,4,3.0
85,Female,Third year,Science,26-33,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents,No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,2.0,4.0,Negatively,5-7 hours,5.0,8.0,7.0,6.0,7.0,13.0,13.0,13.0,13.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,7.0,7.0,6.0,13.0,14.0,13.0,11.0,12.0,11.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,4,3.0
87,Female,Second year,Science,26-33,In the school's library,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,No,4.0,5.0,You do not care about,5-7 hours,3.0,7.0,7.0,8.0,9.0,14.0,12.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,High,High,Very High,High,High,Moderate,Very High,Very High,Moderate,,,,,,,,,,,,,,2,1.0
88,Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Teaching language,Lack of motivation,2.0,Yes,3.0,3.0,You do not care about,5-7 hours,2.0,9.0,3.0,4.0,7.0,14.0,12.0,13.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,Positively,Very High,High,High,High,High,Moderate,High,Very High,High,,,,,,,,,,,,,,2,1.0
89,Male,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Feeling like the program is not really going to be that useful in the future wich leads to me not putting that much effort (less so in this year however),3.0,Yes,4.0,4.0,Positively,5-7 hours,3.0,9.0,7.0,8.0,5.0,14.0,12.0,13.0,,,,,,,High,Moderate,High,Very High,Very High,High,Moderate,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
90,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Lack of time,Teachers' teaching method,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,No,4.0,4.0,Negatively,8 hours or more,3.0,7.0,7.0,7.0,7.0,14.0,12.0,13.0,,,,,,,High,High,High,High,High,High,Moderate,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
91,Male,Second year,Mathematics,10-17,In the school's library,Alone,Lectures,Books;YouTube videos,No,Bad quality of internet,Lack of time,Teachers' teaching method,Pressure,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Lack of motivation,1.0,No,2.0,2.0,You do not care about,5-7 hours,4.0,7.0,7.0,5.0,7.0,14.0,12.0,13.0,,,,,,,High,Moderate,Low,High,Very High,Low,Low,Moderate,Low,Very Low,High,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
92,Male,Second year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teachers' teaching method,Pressure,Lack of time,Lack of motivation,1.0,Yes,1.0,3.0,You do not care about,5-7 hours,5.0,9.0,9.0,9.0,8.0,14.0,13.0,13.0,,,,,,,,,,,,High,High,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,You do not care about,High,High,Very High,High,Moderate,High,High,High,Moderate,,,,,,,,,,,,,,2,1.0
93,Female,Second year,Mathematics,18-25,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,Yes,Lack of time,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,fighting the urge to go and live in a cottage in the mountains,3.0,Yes,4.0,5.0,Negatively,8 hours or more,1.0,9.0,5.0,6.0,7.0,14.0,13.0,13.0,9.0,9.0,9.0,,,,Low,Moderate,Moderate,Moderate,Very High,High,High,Moderate,Low,Moderate,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,2.0
94,Female,Second year,Science,18-25,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,No,3.0,3.0,You do not care about,5-7 hours,4.0,7.0,5.0,6.0,6.0,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Negatively,Very High,High,High,Moderate,Very High,Moderate,High,Very High,Moderate,,,,,,,,,,,,,,2,1.0
95,Female,Second year,Science,10-17,At home,In peer,Learning by practicing,"Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,3.0,5.0,You do not care about,8 hours or more,3.0,6.0,5.0,5.0,6.0,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,High,High,Very High,High,High,High,Very High,High,Moderate,,,,,,,,,,,,,,2,1.0
96,Female,Third year,Science,18-25,At home,In peer,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,3.0,4.0,Negatively,5-7 hours,3.0,7.0,6.0,6.0,6.0,14.0,13.0,13.0,13.0,12.0,12.0,,,,High,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Very High,High,High,High,Moderate,Low,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,Moderate,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
97,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,2.0,3.0,You do not care about,8 hours or more,4.0,8.0,6.0,5.0,8.0,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,High,High,Very High,High,Moderate,High,High,High,Moderate,,,,,,,,,,,,,,2,1.0
98,Female,Second year,Mathematics,18-25,At home,In peer,Learning by practicing;Online courses and tutorials,Online documents;YouTube videos,Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Pressure,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,1.0,No,3.0,3.0,Positively,5-7 hours,2.0,7.0,7.0,6.0,6.0,14.0,13.0,13.0,,,,,,,High,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
99,Male,Second year,Science,10-17,In the school's library,In peer,"Learning by practicing, Project-based learning, Mind mapping and visualization","YouTube videos, Private courses",No,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,3.0,5.0,You do not care about,8 hours or more,5.0,6.0,7.0,8.0,6.0,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,Very High,High,Very High,High,High,High,Very High,High,High,,,,,,,,,,,,,,2,1.0
100,Female,Third year,Science,10-17,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Teaching language,"Perhaps the challenge lies in the lack of resources for theoretical exercises, or the kind of exos that we find in exams",3.0,Yes,4.0,5.0,Positively,5-7 hours,4.0,7.0,8.0,7.0,7.0,14.0,13.0,13.0,13.0,12.0,12.0,,,,High,Moderate,,,High,High,High,,Moderate,Very High,Moderate,High,High,Moderate,Very High,High,Low,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,2.0
101,Female,Second year,Science,18-25,At home,Alone,Lectures;Online courses and tutorials,Online documents,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,nothing,2.0,Yes,4.0,3.0,You do not care about,8 hours or more,5.0,7.0,8.0,8.0,6.0,14.0,13.0,13.0,,,,,,,High,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
102,Female,Second year,Mathematics,18-25,In the dorms' library,In peer,Learning by practicing,YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,3.0,Negatively,5-7 hours,2.0,5.0,6.0,6.0,6.0,14.0,13.0,13.0,,,,,,,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,2,1.0
103,Female,Third year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Pressure,Pressure,Teaching language,Lack of time,Private life problems,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,2.0,2.0,You do not care about,8 hours or more,4.0,7.0,7.0,7.0,9.0,14.0,13.0,13.0,12.0,11.0,11.0,10.0,,10.0,Moderate,Moderate,,,High,High,Moderate,,Moderate,High,High,High,Moderate,High,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,High,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,,3,3.0
104,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,3.0,3.0,You do not care about,5-7 hours,3.0,6.0,6.0,6.0,8.0,14.0,13.0,13.0,,,,,,,,,,,,Moderate,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,Negatively,High,High,Very High,High,Moderate,High,Very High,High,Moderate,,,,,,,,,,,,,,2,1.0
