record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,2y average s1,2y average s2,2y average,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
178,Male,Third year,Mathematics,10-17,At home,Alone,Learning by practicing,Books;Online documents,No,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Bad quality of internet,3.0,4.0,3.0,8 hours or more,4.0,8.0,8.0,8.0,9.0,Bad quality of internet,You do not care about,3,2.0,14.0,14.0,14.0,Very High,High,Very High,Moderate,Moderate,Very High,High,High,High,High,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,6,5,4,1,1,2
180,Male,Third year,Science,34-41,In your room (dorms),Alone,Learning by practicing;Project-based learning,Online documents,No,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Teaching language,2.0,3.0,4.0,8 hours or more,4.0,8.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,15.0,15.0,16.0,High,High,Very High,Moderate,Moderate,Very High,Moderate,High,High,High,High,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,2,6,5,1,1,1
183,Male,Third year,Science,26-33,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online documents,No,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,4.0,5.0,5-7 hours,3.0,8.0,8.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,15.0,15.0,15.0,High,Very High,High,High,High,High,Moderate,High,High,High,Very High,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,0,6,1,1,1
191,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning,Books;Online tutorials;Online documents,Yes,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Teaching language,3.0,4.0,5.0,5-7 hours,3.0,8.0,7.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,15.0,16.0,15.0,High,Very High,High,High,High,High,Moderate,High,High,High,Very High,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,0,5,6,1,1,2
203,Male,Third year,Science,18-25,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents,Yes,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,3.0,5.0,4.0,5-7 hours,3.0,6.0,9.0,9.0,8.0,Bad quality of internet,You do not care about,3,2.0,12.0,11.0,15.0,High,Very High,High,High,High,High,Moderate,High,High,High,Very High,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,5,6,2,4,1,1,1
205,Female,Third year,Science,18-25,In your room (dorms),Alone,Lectures;Online courses and tutorials,YouTube videos,No,Private life problems,Teaching language,Private life problems,Not having a good (powerful) computer,2.0,4.0,4.0,5-7 hours,2.0,6.0,5.0,4.0,7.0,Bad quality of internet,You do not care about,3,2.0,12.0,11.0,15.0,Moderate,Moderate,High,Moderate,Low,High,High,High,Moderate,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,1,6,0,1,1,1
209,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos;Course material,No,Pressure,Private life problems,Teaching language,Not having a good (powerful) computer,3.0,3.0,3.0,5-7 hours,4.0,10.0,7.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,12.0,11.0,15.0,Moderate,High,High,High,Low,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,0,2,6,1,1,1,2
210,Female,Fourth year,Mathematics,More than 41,In your room (dorms),Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents,No,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,2.0,2.0,3.0,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,12.0,11.0,15.0,Moderate,Low,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,3,2,0,8,0,2
222,Female,Third year,Technical maths,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Teaching language,Teachers' teaching method,Bad quality of internet,Private life problems,2.0,2.0,3.0,5-7 hours,1.0,6.0,2.0,3.0,2.0,Lack of time,You do not care about,3,2.0,Moderate,9.0,10.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,3,1,1,1,0,2
249,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Private life problems,Teaching language,2.0,4.0,4.0,5-7 hours,2.0,10.0,5.0,6.0,6.0,Lack of previous knowledge or experience in the field,Negatively,3,2.0,Moderate,11.0,11.0,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High,3,0,6,1,1,0,2
250,Female,Third year,Mathematics,10-17,At home,With a group,"Lectures, Learning by practicing, Interactive workshops","Books, Online tutorials, YouTube videos",No,Bad quality of internet,Pressure,Not having a good (powerful) computer,Private life problems,3.0,3.0,3.0,5-7 hours,3.0,5.0,5.0,5.0,5.0,Teaching language,Positively,3,2.0,High,11.0,12.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,High,Moderate,High,Moderate,High,Moderate,Moderate,High,2,1,4,1,1,1,2
266,Male,Third year,Mathematics,18-25,In your room (dorms),With a group,Learning by practicing,Just lectures nothing else,Yes,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2.0,3.0,4.0,5-7 hours,4.0,7.0,5.0,5.0,7.0,Teaching language,Positively,3,2.0,High,14.0,14.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,Moderate,High,High,High,Moderate,High,High,Very High,High,High,High,6,4,1,1,1,0,2
285,Female,Third year,Mathematics,34-41,At home,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Bad quality of internet,2.0,1.0,3.0,5-7 hours,4.0,10.0,5.0,8.0,8.0,Pressure,You do not care about,3,2.0,Moderate,10.0,10.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,6,7,2,1,1,1,2
288,Female,Third year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Teaching language,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Private life problems,2.0,4.0,4.0,8 hours or more,2.0,7.0,6.0,9.0,8.0,Teachers' teaching method,You do not care about,3,2.0,Moderate,10.0,10.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Low,Moderate,Moderate,High,Moderate,High,2,0,4,1,1,0,2
297,Female,Third year,Mathematics,34-41,In your room (dorms),Alone,Online courses and tutorials,"Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,2.0,2.0,3.0,5-7 hours,3.0,6.0,6.0,6.0,5.0,Not having a good (powerful) computer,You do not care about,3,2.0,High,12.0,13.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,Moderate,High,High,Moderate,Moderate,Moderate,High,High,High,High,High,4,2,6,1,1,0,2
298,Male,Third year,Technical maths,10-17,In the school's library,In peer,"Lectures, Learning by practicing, Project-based learning, Interactive workshops","Books, Online tutorials, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,3.0,4.0,5.0,5-7 hours,5.0,7.0,6.0,7.0,7.0,Pressure,You do not care about,3,2.0,High,13.0,13.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,High,High,Moderate,High,High,Moderate,High,High,High,High,High,6,2,0,1,1,1,2
299,Female,Third year,Mathematics,10-17,In your room (dorms),In peer,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,2.0,1.0,4.0,8 hours or more,2.0,8.0,6.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,3,2.0,High,13.0,13.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,High,High,High,High,High,0,2,5,1,1,1,2
308,Female,Third year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,3.0,4.0,4.0,5-7 hours,2.0,8.0,6.0,6.0,7.0,Private life problems,You do not care about,3,2.0,Moderate,10.0,10.0,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,1,3,4,1,1,1,2
309,Female,Third year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Teachers' teaching method,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,7.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,3,2.0,High,11.0,11.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High,Moderate,High,5,3,0,1,1,1,2
313,Female,Third year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,3.0,3.0,5.0,5-7 hours,2.0,9.0,6.0,6.0,5.0,Bad quality of internet,You do not care about,3,2.0,Moderate,10.0,10.0,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,0,4,2,1,1,0,2
324,Female,Third year,Mathematics,18-25,At home,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,3.0,3.0,4.0,5-7 hours,2.0,10.0,6.0,6.0,8.0,Lack of time,You do not care about,3,2.0,Moderate,10.0,10.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,High,Moderate,Moderate,High,1,6,4,1,1,1,2
325,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Not having a good (powerful) computer,Teaching language,Lack of time,3.0,3.0,3.0,5-7 hours,4.0,8.0,6.0,6.0,8.0,Private life problems,You do not care about,3,2.0,High,9.0,11.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,1,6,0,1,1,1,2
332,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,"Books, YouTube videos",No,Bad quality of internet,Bad quality of internet,Bad quality of internet,Pressure,2.0,3.0,3.0,5-7 hours,3.0,8.0,7.0,7.0,9.0,Pressure,You do not care about,3,2.0,Moderate,9.0,9.0,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Moderate,0,0,0,1,1,0,2
333,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,"Online tutorials, YouTube videos",No,Pressure,Lack of time,Private life problems,Not having a good (powerful) computer,2.0,4.0,4.0,5-7 hours,2.0,7.0,7.0,7.0,6.0,Teaching language,You do not care about,3,2.0,High,14.0,13.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Very High,High,Moderate,Moderate,Moderate,High,Very High,Very High,High,High,High,1,0,6,1,1,0,2
338,Female,Third year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",No,Private life problems,Lack of time,Teaching language,Not having a good (powerful) computer,3.0,4.0,4.0,5-7 hours,2.0,9.0,7.0,6.0,9.0,Bad quality of internet,You do not care about,3,2.0,High,10.0,11.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,High,Moderate,High,6,1,4,1,1,1,2
339,Male,Third year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents",No,Private life problems,Pressure,Teaching language,Not having a good (powerful) computer,3.0,4.0,4.0,5-7 hours,3.0,6.0,7.0,6.0,7.0,Lack of time,You do not care about,3,2.0,High,13.0,13.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,High,Moderate,High,High,Moderate,High,High,Very High,High,High,High,6,1,0,1,1,1,2
345,Male,Third year,Mathematics,10-17,In the school's library,In peer,"Learning by practicing, Project-based learning, Online courses and tutorials",YouTube videos,No,Pressure,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,3.0,5.0,5-7 hours,4.0,8.0,7.0,8.0,9.0,Teachers' teaching method,You do not care about,3,2.0,Moderate,10.0,10.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,0,2,1,1,1,1,2
346,Female,Third year,Technical maths,More than 41 hours,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,4.0,4.0,5-7 hours,3.0,7.0,7.0,7.0,8.0,Teachers' teaching method,You do not care about,3,2.0,High,11.0,12.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate,4,2,1,1,1,0,2
347,Female,Third year,Technical maths,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,4.0,5.0,5-7 hours,3.0,7.0,7.0,8.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,3,2.0,High,12.0,12.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,High,High,High,High,4,2,6,1,1,0,2
348,Male,Third year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,3.0,4.0,5.0,5-7 hours,3.0,10.0,7.0,7.0,6.0,Teachers' teaching method,You do not care about,3,2.0,High,12.0,12.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,Very High,4,2,0,1,1,1,2
349,Female,Third year,Mathematics,18-25,At home,In peer,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents",Yes,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,3.0,3.0,3.0,5-7 hours,3.0,7.0,7.0,7.0,5.0,Private life problems,Positively,3,2.0,High,12.0,13.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,High,High,High,High,High,Moderate,High,High,High,Moderate,High,4,2,1,1,1,0,2
350,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,Mind mapping and visualization,YouTube videos,No,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,3.0,2.0,4.0,8 hours or more,2.0,8.0,7.0,7.0,9.0,Bad quality of internet,Positively,3,2.0,High,13.0,13.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,Moderate,Moderate,High,Moderate,High,Moderate,High,High,High,High,Moderate,Very High,4,2,6,1,1,1,2
364,Female,Third year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,1.0,2.0,4.0,5-7 hours,2.0,7.0,7.0,6.0,8.0,Pressure,Positively,3,2.0,High,12.0,12.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,High,Moderate,High,High,Moderate,Moderate,High,High,High,Moderate,High,1,3,6,1,1,1,2
365,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,2.0,1.0,3.0,5-7 hours,4.0,10.0,7.0,7.0,8.0,Bad quality of internet,You do not care about,2,2.0,Moderate,7.0,9.0,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,High,6,4,2,1,2,1,2
366,Male,Third year,Mathematics,10-17,At home,Alone,Online courses and tutorials,"Online tutorials, YouTube videos",No,Teachers' teaching method,Teaching language,Private life problems,Lack of previous knowledge or experience in the field,1.0,1.0,5.0,5-7 hours,5.0,7.0,7.0,7.0,9.0,Bad quality of internet,You do not care about,3,2.0,High,11.0,12.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High,3,4,2,1,1,1,2
367,Male,Third year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,2.0,3.0,4.0,8 hours or more,3.0,8.0,7.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,3,2.0,High,12.0,13.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,High,High,High,High,Moderate,High,High,High,High,Moderate,High,0,4,2,1,1,0,2
381,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Private life problems,Not having a good (powerful) computer,2.0,3.0,4.0,8 hours or more,4.0,8.0,7.0,7.0,9.0,Bad quality of internet,You do not care about,3,2.0,High,10.0,11.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,4,6,2,1,1,1,2
394,Female,Third year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing","Books, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Teaching language,3.0,1.0,1.0,8 hours or more,3.0,8.0,8.0,6.0,2.0,Not having a good (powerful) computer,Negatively,3,2.0,Moderate,11.0,11.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,High,Moderate,High,Low,Moderate,High,High,Moderate,High,High,5,0,1,1,1,0,2
405,Female,Third year,Mathematics,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online documents, YouTube videos",No,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,3.0,4.0,5-7 hours,3.0,7.0,8.0,6.0,6.0,Lack of time,Positively,3,2.0,Moderate,11.0,11.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,4,1,6,1,1,0,2
406,Male,Third year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online documents",No,Not having a good (powerful) computer,Lack of time,Bad quality of internet,Teaching language,3.0,4.0,5.0,5-7 hours,3.0,9.0,8.0,8.0,7.0,Teachers' teaching method,You do not care about,3,2.0,High,11.0,13.0,Moderate,Moderate,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,High,High,High,High,Low,Moderate,High,High,High,High,High,5,1,3,1,1,1,2
407,Male,Third year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, YouTube videos",No,Not having a good (powerful) computer,Pressure,Teaching language,Private life problems,3.0,5.0,5.0,5-7 hours,4.0,7.0,8.0,8.0,8.0,Lack of time,Positively,3,2.0,High,12.0,13.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,Moderate,High,High,High,Moderate,High,High,High,High,High,High,0,1,6,1,1,0,2
408,Female,Third year,Mathematics,34-41,In the school's library,Alone,"Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",Yes,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,4.0,5.0,5-7 hours,4.0,8.0,8.0,8.0,7.0,Teachers' teaching method,You do not care about,3,2.0,High,12.0,13.0,Moderate,High,Moderate,Very High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,High,High,High,High,Low,Moderate,High,High,High,High,High,4,1,2,1,1,0,2
409,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing",Online documents,Yes,Pressure,Lack of time,Not having a good (powerful) computer,Not having a good (powerful) computer,4.0,4.0,4.0,5-7 hours,3.0,9.0,8.0,9.0,4.0,Teachers' teaching method,You do not care about,3,2.0,High,13.0,13.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,High,High,High,High,High,Moderate,Moderate,High,High,High,High,High,High,0,1,5,1,1,0,2
410,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Pressure,Not having a good (powerful) computer,Teaching language,3.0,3.0,2.0,5-7 hours,3.0,9.0,8.0,7.0,7.0,Private life problems,Positively,3,2.0,High,12.0,14.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,Very High,High,Very High,High,High,Moderate,High,High,High,High,Moderate,High,0,1,6,1,1,1,2
411,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,3.0,3.0,5.0,5-7 hours,4.0,9.0,8.0,8.0,7.0,Teachers' teaching method,Positively,3,2.0,High,13.0,14.0,Moderate,High,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,Moderate,Very High,High,Very High,Very High,High,High,Moderate,Moderate,High,High,High,High,High,6,1,0,1,1,0,2
