record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
48,Male,Third year,Mathematics,10-17,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat GPT,No,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,2.0,3.0,3.0,5-7 hours,3.0,6.0,7.0,7.0,8.0,Bad quality of internet,You do not care about,3,2.0,12.0,13.0,12.0,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,High,Moderate,High,High,Moderate,3,7,2,1,4,1,2
49,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Project-based learning, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Teachers' teaching method,Not having a good (powerful) computer,Pressure,Private life problems,3.0,5.0,5.0,4 hours or less,2.0,3.0,5.0,5.0,5.0,Lack of time,Positively,2,1.0,13.0,11.0,12.0,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Low,Moderate,Moderate,High,High,High,High,Moderate,High,Moderate,High,High,Moderate,6,1,0,1,8,1,2
50,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,3.0,3.0,5-7 hours,2.0,9.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,High,High,3,2,6,1,8,0,2
51,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Interactive workshops","Books, YouTube videos",Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,2.0,2.0,5.0,5-7 hours,3.0,7.0,3.0,2.0,8.0,Pressure,You do not care about,2,1.0,13.0,11.0,12.0,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Very High,Moderate,High,Moderate,High,Very High,High,0,3,2,1,8,0,2
52,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Teaching language,Not having a good (powerful) computer,Private life problems,Private life problems,2.0,5.0,5.0,5-7 hours,3.0,5.0,5.0,4.0,6.0,Lack of time,Positively,2,1.0,13.0,11.0,12.0,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,High,High,High,High,High,High,Moderate,3,6,1,1,8,1,2
53,Male,Second year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,2.0,2.0,4.0,5-7 hours,2.0,8.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,Very High,High,High,Moderate,High,High,High,Very High,Moderate,2,5,4,1,8,1,2
54,Male,Second year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, YouTube videos",No,Bad quality of internet,Lack of time,Not having a good (powerful) computer,Teaching language,2.0,4.0,5.0,5-7 hours,2.0,9.0,4.0,5.0,7.0,Pressure,You do not care about,2,1.0,13.0,11.0,12.0,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,High,Very High,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,1,5,4,1,8,0,2
55,Female,Second year,Science,26-33,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;YouTube videos,No,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,3.0,2.0,3.0,8 hours or more,2.0,7.0,5.0,3.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,Moderate,Moderate,Low,High,High,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Very High,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,2,4,1,5,8,0,0
56,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,Yes,Private life problems,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,2.0,1.0,1.0,8 hours or more,3.0,8.0,7.0,9.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,Very High,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,3,3,6,2,8,0,1
57,Male,Second year,Mathematics,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Private life problems,Teachers' teaching method,Teaching language,3.0,5.0,5.0,5-7 hours,3.0,8.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,Very High,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,2,1,0,3,8,0,1
58,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,2.0,3.0,5.0,5-7 hours,3.0,6.0,7.0,7.0,6.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,12.0,Moderate,High,Moderate,Moderate,High,High,High,Moderate,Moderate,High,Moderate,High,Very High,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,5,2,1,4,4,0,1
59,Male,Second year,Mathematics,More than 41 hours,At home,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,3.0,4.0,8 hours or more,3.0,7.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,13.0,12.0,12.0,Moderate,High,Moderate,Moderate,High,High,High,Moderate,Moderate,High,Moderate,High,High,High,High,High,High,Moderate,High,Very High,Moderate,3,6,2,1,8,0,2
60,Female,Second year,Mathematics,26-33,In the school's library,Alone,Learning by practicing;Mind mapping and visualization,Books;Online documents;YouTube videos,Yes,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,4.0,5.0,4.0,8 hours or more,5.0,8.0,7.0,8.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,12.0,12.0,High,Moderate,Very High,High,Very High,Very High,Moderate,Very High,Moderate,Low,Moderate,Very High,High,High,High,High,High,Moderate,High,Very High,Moderate,3,2,1,6,20,1,1
61,Female,Second year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing,"Online documents, YouTube videos",No,Lack of time,Teaching language,Private life problems,Not having a good (powerful) computer,2.0,5.0,4.0,5-7 hours,1.0,8.0,3.0,3.0,6.0,Pressure,Positively,2,1.0,14.0,10.0,12.0,High,Moderate,Very High,High,Very High,High,High,Very High,Moderate,Low,Moderate,Very High,High,High,High,High,High,Moderate,High,Very High,Low,1,6,0,1,8,1,2
62,Female,Second year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,5.0,5.0,5-7 hours,1.0,8.0,5.0,5.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,10.0,12.0,High,Moderate,Very High,High,Very High,High,Moderate,Very High,Moderate,Low,Moderate,Very High,Very High,High,High,High,High,Moderate,High,High,Moderate,2,4,0,1,8,1,2
63,Female,Second year,Science,18-25,In your room (dorms),In peer,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,3.0,5.0,5-7 hours,4.0,8.0,6.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,14.0,10.0,12.0,High,Moderate,Very High,High,Very High,High,Moderate,Very High,Moderate,Low,Moderate,Very High,Very High,High,High,High,High,Moderate,High,High,Moderate,5,4,2,4,8,1,0
64,Female,Second year,Mathematics,26-33,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Private life problems,Bad quality of internet,Teaching language,2.0,2.0,3.0,5-7 hours,3.0,8.0,5.0,4.0,7.0,Not having a good (powerful) computer,Positively,2,1.0,14.0,11.0,12.0,High,Moderate,Very High,High,Very High,High,High,Very High,Moderate,Low,Moderate,Very High,Very High,High,Very High,High,Moderate,Moderate,Moderate,Very High,Moderate,5,2,1,1,8,0,2
65,Female,Second year,Mathematics,34-41,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Bad quality of internet,Teaching language,Lack of time,Lack of time,2.0,3.0,4.0,5-7 hours,3.0,8.0,7.0,7.0,7.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,14.0,11.0,12.0,High,Moderate,Very High,High,Very High,High,Moderate,Very High,Moderate,Low,Moderate,Very High,Very High,High,High,Moderate,High,Moderate,High,Very High,Moderate,5,2,4,1,8,0,2
66,Female,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online tutorials, Online documents",Yes,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,4.0,2.0,5-7 hours,4.0,8.0,6.0,7.0,7.0,Teachers' teaching method,Negatively,2,1.0,14.0,11.0,12.0,High,Moderate,Very High,High,Very High,Very High,High,Very High,High,Low,Moderate,Very High,High,High,High,Moderate,High,Low,Moderate,Very High,Moderate,2,4,0,1,8,1,2
67,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,3.0,5.0,5.0,5-7 hours,4.0,9.0,7.0,7.0,8.0,Not having a good (powerful) computer,You do not care about,2,1.0,14.0,11.0,12.0,High,Moderate,Very High,High,Very High,Very High,High,Very High,Low,Low,Moderate,Very High,Very High,High,Very High,High,Moderate,High,High,High,Moderate,3,5,2,1,8,1,2
68,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials",No,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,2.0,2.0,5.0,8 hours or more,1.0,8.0,5.0,4.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,11.0,12.0,High,Moderate,Very High,High,Very High,Very High,Moderate,Very High,Moderate,Low,Moderate,Very High,High,High,Very High,Moderate,High,High,Moderate,High,Moderate,4,4,2,1,8,1,2
69,Male,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,2.0,3.0,4.0,5-7 hours,3.0,6.0,8.0,7.0,6.0,Teaching language,Negatively,2,1.0,14.0,12.0,12.0,High,Moderate,Very High,High,Very High,High,High,Very High,Moderate,Low,Moderate,Very High,High,High,High,High,High,High,High,High,Low,5,2,5,1,8,0,2
70,Female,Second year,Science,26-33,In your room (dorms),In peer,Lectures;Learning by practicing;Mind mapping and visualization,Books;YouTube videos,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,5.0,3.0,5-7 hours,3.0,7.0,6.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,12.0,13.0,Moderate,High,High,High,High,High,High,High,Moderate,Low,Moderate,High,High,High,High,High,High,High,High,High,Low,5,4,5,2,8,0,1
71,Female,Second year,Mathematics,34-41,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,3.0,5.0,5-7 hours,4.0,8.0,5.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,12.0,13.0,Moderate,Moderate,Moderate,High,Very High,High,Moderate,High,Moderate,Moderate,Moderate,Very High,High,High,High,High,High,High,High,High,Low,3,2,0,6,8,1,2
72,Male,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books,No,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,3.0,4.0,5.0,8 hours or more,4.0,6.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,13.0,12.0,13.0,Moderate,Moderate,High,High,High,Moderate,High,High,High,High,Moderate,High,High,High,High,High,High,High,High,High,Low,2,4,1,6,8,1,2
73,Male,Third year,Mathematics,10-17,In your room (dorms),In peer,Lectures;Project-based learning,Online documents;YouTube videos,No,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,3.0,4.0,4.0,8 hours or more,4.0,7.0,6.0,7.0,5.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,13.0,High,High,High,High,High,Moderate,High,High,Moderate,High,Moderate,High,High,High,High,High,High,High,High,High,Low,5,4,1,2,4,1,0
74,Male,Second year,Technical maths,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",No,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,1.0,2.0,3.0,8 hours or more,3.0,2.0,6.0,6.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,High,High,High,High,High,High,High,High,High,High,Moderate,High,High,High,Very High,High,Moderate,High,Very High,High,Moderate,6,2,6,1,8,1,2
75,Female,Second year,Science,18-25,In the school's library,With a group,Learning by practicing;Project-based learning;Mind mapping and visualization,YouTube videos,Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,3.0,4.0,4.0,5-7 hours,5.0,8.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,Moderate,Moderate,Moderate,Moderate,Very High,High,High,High,Moderate,High,Moderate,High,High,High,Very High,High,Moderate,High,Very High,High,Moderate,2,0,5,4,8,1,1
76,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,Online documents,No,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,2.0,2.0,3.0,5-7 hours,4.0,6.0,8.0,9.0,7.0,Lack of time,You do not care about,2,1.0,13.0,13.0,13.0,Moderate,Moderate,Moderate,Moderate,Very High,High,High,High,Moderate,High,Moderate,High,High,High,High,High,Moderate,High,High,High,High,3,7,6,1,8,1,2
77,Female,Second year,Mathematics,34-41,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,5.0,5.0,5-7 hours,2.0,10.0,9.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,Moderate,Moderate,Moderate,High,High,High,High,High,Moderate,Moderate,High,High,High,High,High,High,Moderate,High,High,High,High,3,2,6,1,8,1,2
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,Yes,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,1.0,2.0,3.0,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,High,High,High,High,Very High,Low,Moderate,Moderate,High,High,High,High,High,High,High,High,Moderate,High,High,High,High,4,2,4,6,21,0,2
79,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,Online courses and tutorials,Online tutorials;YouTube videos;Private courses,No,Teaching language,Teaching language,Not having a good (powerful) computer,Private life problems,3.0,4.0,4.0,5-7 hours,3.0,8.0,8.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Very High,High,High,High,High,High,High,High,High,Moderate,High,High,High,High,5,2,2,1,8,1,0
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,No,Bad quality of internet,Private life problems,Teaching language,Lack of time,2.0,3.0,4.0,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,High,High,High,High,Moderate,High,High,High,High,3,6,1,3,21,0,2
81,Female,Second year,Science,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat Gpt,No,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,4.0,4.0,5-7 hours,2.0,7.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,High,High,High,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,High,High,High,High,High,Moderate,High,High,High,High,3,6,2,1,8,1,1
82,Male,Second year,Technical maths,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,2.0,1.0,2.0,8 hours or more,1.0,3.0,4.0,2.0,3.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,Moderate,High,Very Low,Moderate,Very Low,Very Low,Moderate,Low,Low,Moderate,Moderate,Very Low,High,High,High,High,Moderate,High,High,High,High,3,2,7,1,8,0,2
83,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Mind mapping and visualization;Online courses and tutorials,Books;Online documents,Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Bad quality of internet,3.0,3.0,3.0,8 hours or more,2.0,7.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,13.0,13.0,Moderate,High,Very Low,Moderate,Very Low,Very Low,Moderate,Low,Low,Moderate,Moderate,Very Low,High,High,High,High,Moderate,High,High,High,High,2,4,5,6,4,0,0
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,Yes,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,2.0,4.0,4.0,5-7 hours,4.0,9.0,7.0,9.0,8.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,Moderate,High,Very Low,Moderate,Very Low,Very Low,Moderate,Low,Low,Moderate,Moderate,Very Low,High,High,High,High,Moderate,High,High,High,High,2,0,1,4,21,1,2
85,Female,Third year,Science,26-33,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents,No,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2.0,2.0,4.0,5-7 hours,5.0,8.0,7.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,13.0,13.0,Moderate,High,Very Low,Moderate,Very Low,Very Low,Moderate,Low,Low,Moderate,Moderate,Very Low,High,High,High,High,Moderate,High,High,High,High,2,4,6,1,4,0,0
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,Yes,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,2.0,3.0,4.0,5-7 hours,2.0,9.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,14.0,13.0,Moderate,High,Very Low,Moderate,Very Low,Very Low,Moderate,Low,Low,Moderate,Moderate,Very Low,High,High,High,High,Moderate,High,High,High,High,5,2,1,0,21,0,2
87,Female,Second year,Science,26-33,In the school's library,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",Yes,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,3.0,4.0,5.0,5-7 hours,3.0,7.0,7.0,8.0,9.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,14.0,12.0,13.0,Moderate,High,Very Low,Moderate,Very Low,High,High,Low,Moderate,Moderate,Moderate,Very Low,High,High,Very High,High,High,Moderate,Very High,Very High,Moderate,2,4,6,1,8,0,2
88,Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Teaching language,2.0,3.0,3.0,5-7 hours,2.0,9.0,3.0,4.0,7.0,Private life problems,Positively,2,1.0,14.0,12.0,13.0,Moderate,High,Very Low,Moderate,Very Low,High,Moderate,Low,Moderate,Moderate,Moderate,Very Low,Very High,High,High,High,High,Moderate,High,Very High,High,3,2,1,1,8,1,2
89,Male,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Online tutorials;Online documents;YouTube videos,No,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,4.0,4.0,5-7 hours,3.0,9.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,12.0,13.0,High,Moderate,High,Very High,Very High,High,Moderate,High,Moderate,Moderate,Moderate,High,Very High,High,High,High,High,Moderate,High,Very High,High,2,4,1,6,3,1,1
90,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,3.0,4.0,4.0,8 hours or more,3.0,7.0,7.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,12.0,13.0,High,High,High,High,High,High,Moderate,High,Moderate,Moderate,Moderate,High,Very High,High,High,High,High,Moderate,High,Very High,High,2,6,5,4,8,0,0
91,Male,Second year,Mathematics,10-17,In the school's library,Alone,Lectures,Books;YouTube videos,No,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,1.0,2.0,2.0,5-7 hours,4.0,7.0,7.0,5.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,12.0,13.0,High,Moderate,Low,High,Very High,Low,Low,Moderate,Low,Very Low,High,Very High,Very High,High,High,High,High,Moderate,High,Very High,High,0,2,6,4,8,0,2
92,Male,Second year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teachers' teaching method,Pressure,Lack of time,1.0,1.0,3.0,5-7 hours,5.0,9.0,9.0,9.0,8.0,Teachers' teaching method,You do not care about,2,1.0,14.0,13.0,13.0,High,Moderate,Low,High,Very High,High,High,Moderate,High,Very Low,High,Very High,High,High,Very High,High,Moderate,High,High,High,Moderate,5,6,6,1,8,1,2
93,Female,Second year,Mathematics,18-25,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,Yes,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,3.0,4.0,5.0,8 hours or more,1.0,9.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,14.0,13.0,13.0,Low,Moderate,Moderate,Moderate,Very High,High,High,Moderate,Low,Moderate,Moderate,Very High,High,High,Very High,High,Moderate,High,High,High,Moderate,2,4,5,1,26,1,0
94,Female,Second year,Science,18-25,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online documents, YouTube videos",No,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,3.0,3.0,3.0,5-7 hours,4.0,7.0,5.0,6.0,6.0,Pressure,Negatively,2,1.0,14.0,13.0,13.0,Low,Moderate,Moderate,Moderate,Very High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,Very High,High,High,Moderate,Very High,Moderate,High,Very High,Moderate,2,1,5,1,8,0,2
95,Female,Second year,Science,10-17,At home,In peer,Learning by practicing,"Books, Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,3.0,5.0,8 hours or more,3.0,6.0,5.0,5.0,6.0,Pressure,You do not care about,2,1.0,14.0,13.0,13.0,Low,Moderate,Moderate,Moderate,Very High,High,High,Moderate,Moderate,Moderate,Moderate,Very High,High,High,Very High,High,High,High,Very High,High,Moderate,5,2,1,1,8,0,2
96,Female,Third year,Science,18-25,At home,In peer,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,No,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,3.0,4.0,5-7 hours,3.0,7.0,6.0,6.0,6.0,Bad quality of internet,You do not care about,3,2.0,14.0,13.0,13.0,High,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Very High,High,High,Very High,High,High,High,Very High,High,Moderate,2,1,6,4,4,0,0
97,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Pressure,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,2.0,3.0,8 hours or more,4.0,8.0,6.0,5.0,8.0,Lack of time,You do not care about,2,1.0,14.0,13.0,13.0,High,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Very High,High,High,Very High,High,Moderate,High,High,High,Moderate,4,1,6,1,8,0,2
