record_id,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,gender_encoded,study_year_encoded,bac_specialty_encoded,how many hours per week do you spend studying personnal efforts_encoded,study_place_encoded,study_style_encoded,learning_methods_encoded,what types of resources do you use most_encoded,use_schedule_encoded,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,5 fifth_encoded,6 sixth_encoded,7 seventh_encoded,8 eighth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded,sleep_hours_encoded,4 forth_encoded,how do others feedbacks influence you_encoded,1y foundational mathematics_encoded,1y dsa1_encoded,1y digital systems_encoded,1y information technology essentials_encoded,1y english 1_encoded,1y cpsct_encoded,1y oop_encoded,1y introduction to linux_encoded,1y linear algebra_encoded,1y mathematical analysis 1_encoded,1y introduction to statistics_encoded,1y english 2_encoded,1y intensive english_encoded,1y seminar_encoded,1y analysis i_encoded,1y algebra_encoded,1y a com i_encoded,1y intro prog c_encoded,1y analysis ii_encoded,1y a com ii_encoded,1y proba stat_encoded
91,1.0,2.0,2.0,4.0,7.0,7.0,5.0,7.0,2,1.0,14.0,12.0,13.0,1,2,0,0,2,0,23,16,0,0,2,6,4,3,1,5,7,8,0,2,1,1,3,0,2,1,0,3,1,1,2,1,4,0,3,2,0,0,0,0,2,0,2,0
92,1.0,1.0,3.0,5.0,9.0,9.0,9.0,8.0,2,1.0,14.0,13.0,13.0,1,2,1,0,3,0,11,4,1,5,6,6,1,6,6,4,2,8,1,2,1,6,3,0,2,1,0,3,0,0,2,0,4,0,3,0,0,1,0,2,0,0,0,2
93,3.0,4.0,5.0,1.0,9.0,5.0,6.0,7.0,2,2.0,14.0,13.0,13.0,0,2,0,1,0,0,39,34,1,2,4,5,1,0,6,7,3,26,1,0,2,1,3,1,2,2,2,3,0,0,2,1,2,2,3,0,0,1,0,2,0,0,0,2
94,3.0,3.0,3.0,4.0,7.0,5.0,6.0,6.0,2,1.0,14.0,13.0,13.0,0,2,1,1,2,0,31,2,0,2,1,5,1,6,0,7,3,8,0,2,1,4,0,1,2,2,2,3,0,0,2,2,2,2,3,2,0,0,1,3,2,0,2,2
95,2.0,3.0,5.0,3.0,6.0,5.0,5.0,6.0,2,1.0,14.0,13.0,13.0,0,2,1,0,0,1,0,4,0,5,2,1,1,0,5,3,7,8,0,2,2,4,3,1,2,2,2,3,0,0,2,2,2,2,3,0,0,1,0,0,0,2,0,2
96,2.0,3.0,4.0,3.0,7.0,6.0,6.0,6.0,3,2.0,14.0,13.0,13.0,0,3,1,1,0,1,14,10,0,2,1,6,4,5,0,7,3,4,0,0,1,0,3,0,2,2,2,0,0,0,2,2,0,2,3,0,0,1,0,0,0,2,0,2
97,2.0,2.0,3.0,4.0,8.0,6.0,5.0,8.0,2,1.0,14.0,13.0,13.0,1,2,0,1,3,0,51,5,1,4,1,6,1,4,0,7,3,8,0,2,2,2,3,0,2,2,2,0,0,0,2,2,0,2,3,0,0,1,0,2,0,0,0,2
98,1.0,3.0,3.0,2.0,7.0,7.0,6.0,6.0,2,1.0,14.0,13.0,13.0,0,2,0,1,0,1,16,22,1,5,1,2,0,4,7,5,3,8,0,1,1,1,3,0,2,0,0,0,0,0,0,2,0,2,0,0,0,1,0,2,0,0,0,2
99,3.0,3.0,5.0,5.0,6.0,7.0,8.0,6.0,2,1.0,14.0,13.0,13.0,1,2,1,0,2,1,8,37,0,1,7,6,1,0,2,5,3,8,1,2,2,4,3,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,2,0,0
100,3.0,4.0,5.0,4.0,7.0,8.0,7.0,7.0,3,2.0,14.0,13.0,13.0,0,3,1,0,0,0,21,13,0,2,4,6,5,1,3,0,7,14,1,1,1,0,3,0,2,0,0,0,0,0,0,2,3,2,0,2,0,1,0,0,0,2,0,0
101,2.0,4.0,3.0,5.0,7.0,8.0,8.0,6.0,2,1.0,14.0,13.0,13.0,0,2,1,1,0,0,47,18,0,2,4,1,5,6,0,3,7,28,1,2,2,1,3,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,2,0,0
102,2.0,3.0,3.0,2.0,5.0,6.0,6.0,6.0,2,1.0,14.0,13.0,13.0,0,2,0,1,1,1,0,36,1,3,1,6,2,7,5,0,3,8,0,0,1,1,3,2,2,0,2,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,0,0
103,2.0,2.0,2.0,4.0,7.0,7.0,7.0,9.0,3,3.0,14.0,13.0,13.0,0,3,0,0,0,0,37,34,0,1,0,6,4,4,7,2,5,4,1,2,2,0,3,2,2,0,2,0,0,2,2,2,0,0,0,2,0,1,0,0,0,2,0,0
104,2.0,3.0,3.0,3.0,6.0,6.0,6.0,8.0,2,1.0,14.0,13.0,13.0,1,2,0,1,3,0,51,26,1,5,1,4,1,2,0,7,3,8,1,2,1,5,0,2,2,0,2,0,2,0,2,2,0,0,0,0,0,1,0,2,0,2,0,2
105,3.0,3.0,5.0,4.0,8.0,7.0,8.0,7.0,3,2.0,14.0,13.0,13.0,0,3,2,1,2,2,19,34,1,2,4,6,1,0,5,3,7,4,1,1,1,0,3,2,0,0,2,0,3,0,2,2,0,2,0,0,0,1,0,2,0,2,0,2
106,2.0,3.0,2.0,2.0,7.0,7.0,7.0,8.0,2,1.0,14.0,13.0,13.0,0,2,0,1,2,2,47,22,1,3,6,2,0,5,7,5,3,2,1,0,2,1,3,0,0,2,0,0,3,0,0,2,3,2,0,0,0,1,0,2,0,2,0,2
107,3.0,3.0,5.0,3.0,8.0,8.0,8.0,8.0,3,2.0,14.0,13.0,13.0,0,3,1,1,0,1,21,22,1,2,4,1,6,0,5,6,3,4,0,1,1,0,3,0,0,2,0,0,3,0,0,2,3,2,0,0,0,1,0,2,0,2,0,2
108,2.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2,1.0,15.0,11.0,13.0,0,2,0,0,0,0,54,18,0,2,4,1,1,0,3,7,5,8,0,2,1,6,0,0,0,2,0,0,0,2,0,1,3,2,0,2,0,1,0,0,2,0,2,0
109,4.0,4.0,5.0,2.0,7.0,5.0,3.0,5.0,2,1.0,15.0,12.0,13.0,1,2,0,0,3,0,54,36,0,2,1,4,1,6,0,3,7,8,0,2,1,5,1,0,0,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,2
110,2.0,4.0,4.0,2.0,9.0,5.0,5.0,7.0,2,1.0,15.0,12.0,13.0,0,2,0,1,2,1,11,4,1,5,2,1,1,3,0,5,7,8,1,2,1,4,3,0,0,2,0,0,0,0,0,2,3,2,0,2,0,0,1,3,2,2,2,2
111,3.0,3.0,4.0,2.0,8.0,6.0,6.0,5.0,2,1.0,15.0,12.0,13.0,1,2,0,1,3,0,0,7,1,2,4,6,1,7,0,3,5,8,1,2,1,1,1,0,0,2,0,0,0,0,0,2,3,2,0,2,0,1,0,0,0,0,2,2
112,2.0,3.0,4.0,3.0,8.0,6.0,7.0,8.0,2,1.0,15.0,12.0,13.0,0,2,1,1,2,1,5,36,1,2,4,5,1,0,1,3,7,8,0,2,1,6,0,0,0,2,0,0,0,2,0,2,3,2,0,2,0,1,0,3,2,0,2,2
113,2.0,5.0,4.0,4.0,6.0,5.0,7.0,7.0,2,1.0,15.0,12.0,13.0,1,2,1,1,3,0,5,4,1,4,6,1,1,3,4,0,7,8,1,2,1,2,0,0,0,2,0,0,3,0,0,2,3,2,0,2,0,1,0,0,0,0,0,1
114,2.0,3.0,4.0,3.0,8.0,7.0,3.0,8.0,2,1.0,15.0,12.0,13.0,0,2,1,5,3,2,0,29,1,1,2,6,1,5,0,7,3,8,0,2,1,4,3,0,0,2,0,0,3,0,0,2,3,2,0,2,0,1,1,0,0,0,0,2
115,1.0,4.0,5.0,2.0,8.0,7.0,8.0,3.0,2,1.0,15.0,13.0,13.0,1,2,0,1,2,1,28,2,0,4,6,4,1,1,0,7,3,8,0,2,2,2,0,0,0,2,0,0,0,0,0,2,3,2,0,0,0,1,0,2,0,0,0,2
116,2.0,5.0,4.0,3.0,6.0,5.0,4.0,4.0,2,1.0,16.0,10.0,13.0,1,2,1,0,3,0,53,36,0,1,6,2,4,5,3,0,7,8,0,2,2,1,3,0,0,3,0,0,0,2,2,2,2,2,2,0,0,1,0,2,0,0,0,2
117,2.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,2,1.0,16.0,10.0,13.0,0,2,1,1,0,0,52,39,1,3,2,6,1,0,7,5,3,8,1,1,2,1,3,0,0,2,2,3,0,2,3,0,1,2,0,0,0,1,0,2,0,0,0,2
118,3.0,4.0,4.0,4.0,8.0,8.0,7.0,7.0,2,1.0,13.0,14.0,14.0,1,2,0,0,0,0,5,6,0,2,0,6,1,1,5,4,3,8,1,2,1,7,1,0,0,2,2,3,0,0,3,2,1,2,0,0,0,0,0,2,0,2,2,0
119,2.0,3.0,4.0,3.0,8.0,8.0,7.0,7.0,3,2.0,13.0,14.0,14.0,1,3,0,0,0,0,22,31,0,2,1,6,3,4,0,5,7,4,1,2,1,0,3,0,0,2,2,3,0,0,3,2,1,2,0,0,0,0,0,2,0,2,2,0
120,3.0,3.0,4.0,2.0,7.0,4.0,3.0,5.0,2,1.0,13.0,15.0,14.0,0,2,1,3,2,0,38,13,1,5,4,2,1,5,1,0,3,8,1,2,1,1,3,2,2,2,3,3,2,0,3,2,0,3,3,0,0,0,0,2,0,2,2,0
121,4.0,4.0,4.0,5.0,7.0,9.0,8.0,9.0,2,1.0,13.0,15.0,14.0,0,2,0,0,3,0,45,31,0,5,1,6,0,5,3,4,7,8,1,2,2,1,3,4,3,3,3,1,4,0,3,0,3,0,4,0,0,0,0,2,0,2,2,0
122,4.0,2.0,5.0,3.0,8.0,9.0,9.0,9.0,4,3.0,13.0,15.0,14.0,0,1,0,1,3,0,42,10,1,0,4,1,2,3,6,5,7,21,1,1,1,8,2,4,3,3,3,1,4,0,3,0,3,0,4,0,0,0,0,2,0,2,2,0
123,3.0,3.0,4.0,2.0,8.0,7.0,7.0,6.0,2,1.0,14.0,13.0,14.0,1,2,0,2,2,0,16,31,1,3,2,6,1,5,7,0,3,15,1,1,1,1,3,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,0
124,2.0,3.0,4.0,3.0,8.0,6.0,6.0,5.0,2,1.0,14.0,13.0,14.0,1,2,0,0,3,0,46,10,0,5,5,2,4,4,3,2,0,8,0,2,1,1,3,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,0
125,1.0,5.0,5.0,4.0,8.0,9.0,9.0,7.0,2,1.0,14.0,13.0,14.0,1,2,1,0,3,0,17,12,1,0,6,2,4,3,7,1,5,8,1,1,2,1,3,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,0
126,3.0,3.0,4.0,4.0,7.0,7.0,7.0,8.0,2,1.0,14.0,14.0,14.0,1,2,1,3,3,1,40,31,0,2,6,5,4,1,3,7,0,8,1,2,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0
127,2.0,3.0,4.0,3.0,7.0,8.0,7.0,7.0,2,1.0,14.0,14.0,14.0,1,2,0,3,0,0,38,31,0,4,1,6,7,4,0,2,3,8,0,0,1,1,3,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0
128,3.0,5.0,5.0,4.0,8.0,9.0,8.0,7.0,3,2.0,14.0,14.0,14.0,0,3,1,3,3,0,45,31,0,3,2,0,5,6,1,7,3,4,1,1,1,0,3,0,2,0,3,3,0,2,0,1,2,0,0,0,0,0,0,2,0,2,2,0
129,1.0,2.0,5.0,1.0,7.0,7.0,7.0,7.0,2,1.0,14.0,14.0,14.0,1,2,0,1,3,0,24,26,0,5,1,4,1,7,2,5,3,8,0,2,1,0,3,0,2,0,3,3,0,0,0,2,2,0,0,2,0,0,0,2,0,2,0,0
130,3.0,4.0,4.0,4.0,5.0,7.0,7.0,6.0,2,1.0,14.0,14.0,14.0,1,2,2,1,3,0,40,30,1,2,4,0,3,6,1,5,7,8,0,1,1,1,3,2,0,0,3,2,2,2,0,0,0,0,2,2,0,0,0,2,0,2,0,0
131,4.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,3,2.0,14.0,14.0,14.0,1,3,1,0,0,1,20,36,0,6,1,6,2,4,5,0,3,4,1,1,2,0,3,2,0,0,3,0,2,2,0,1,2,2,0,2,0,0,0,2,0,2,0,0
132,2.0,4.0,4.0,2.0,7.0,7.0,7.0,8.0,2,1.0,14.0,14.0,14.0,1,2,0,2,2,0,6,29,1,3,1,6,1,7,0,2,3,8,1,2,2,5,1,2,0,0,3,0,2,0,0,2,2,2,0,2,0,0,0,0,0,2,2,0
133,3.0,5.0,4.0,2.0,9.0,7.0,7.0,5.0,2,1.0,14.0,14.0,14.0,0,2,0,1,2,0,40,14,1,3,2,0,6,5,1,7,3,16,1,1,1,1,3,0,0,2,3,0,2,0,0,2,2,2,2,2,0,0,0,0,0,2,2,0
134,3.0,4.0,4.0,5.0,8.0,9.0,10.0,7.0,2,1.0,14.0,14.0,14.0,1,2,0,0,3,1,54,31,0,4,5,5,5,5,5,5,5,10,1,2,2,1,3,0,0,0,3,0,2,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
135,3.0,4.0,5.0,4.0,9.0,8.0,7.0,7.0,2,1.0,14.0,14.0,14.0,0,2,1,5,3,0,11,26,0,2,0,6,1,1,5,7,3,8,1,2,1,4,1,0,0,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
136,4.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,3,2.0,14.0,14.0,14.0,1,3,1,0,3,1,46,40,0,2,4,0,6,3,0,5,7,19,1,1,1,0,3,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
137,2.0,3.0,4.0,3.0,7.0,6.0,7.0,9.0,4,3.0,14.0,14.0,14.0,0,1,2,4,3,0,40,8,1,5,2,0,4,1,5,3,7,21,0,2,1,8,2,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
138,3.0,3.0,4.0,2.0,9.0,8.0,7.0,7.0,4,3.0,14.0,14.0,14.0,1,1,0,1,3,0,17,0,0,4,6,2,1,4,2,3,7,21,1,2,1,8,2,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
139,2.0,4.0,4.0,2.0,9.0,9.0,9.0,7.0,4,2.0,14.0,14.0,14.0,1,1,0,0,2,1,56,11,0,3,2,6,1,3,5,0,7,21,1,2,2,8,2,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
140,3.0,3.0,4.0,2.0,7.0,6.0,6.0,6.0,2,1.0,15.0,13.0,14.0,0,2,0,0,2,0,54,34,0,5,2,1,4,5,3,7,0,8,0,2,1,1,3,2,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,2,2,0
141,2.0,3.0,4.0,3.0,9.0,8.0,8.0,6.0,2,1.0,15.0,13.0,14.0,1,2,1,2,2,0,1,19,0,3,2,0,1,1,6,3,7,8,1,2,1,5,1,2,2,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0
142,2.0,3.0,5.0,4.0,9.0,8.0,9.0,8.0,2,1.0,15.0,13.0,14.0,1,2,0,0,2,0,40,30,0,5,2,0,1,4,7,3,5,12,0,1,1,1,3,0,0,0,0,3,0,0,0,2,2,0,0,2,0,1,0,0,0,0,0,0
143,3.0,5.0,5.0,5.0,4.0,8.0,8.0,9.0,3,2.0,15.0,13.0,14.0,1,3,0,0,3,0,18,16,0,2,6,1,0,1,5,3,7,31,0,2,2,0,3,0,2,2,2,0,0,0,2,2,3,0,0,2,0,1,0,0,0,0,0,0
144,3.0,4.0,5.0,3.0,9.0,9.0,9.0,7.0,2,1.0,15.0,13.0,14.0,0,2,1,1,3,0,7,4,1,3,2,6,1,5,7,1,3,8,1,2,1,0,3,0,2,2,2,0,0,0,2,2,3,0,0,2,0,1,0,0,0,0,2,2
145,4.0,4.0,4.0,1.0,6.0,5.0,5.0,5.0,2,1.0,15.0,13.0,14.0,1,2,0,0,3,0,37,17,0,2,4,1,6,0,3,7,5,8,1,2,2,1,3,2,0,0,0,2,2,0,0,2,2,0,2,2,0,1,0,0,0,0,2,2
146,3.0,5.0,5.0,3.0,7.0,8.0,8.0,8.0,2,1.0,15.0,13.0,14.0,0,2,0,2,0,0,35,7,0,3,2,6,1,5,2,2,4,8,1,2,1,1,1,2,0,0,0,2,3,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0
147,3.0,4.0,5.0,3.0,8.0,7.0,7.0,9.0,2,1.0,15.0,14.0,14.0,1,2,0,1,0,0,15,10,1,3,2,6,0,1,3,3,7,8,0,1,1,1,3,3,0,2,0,3,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0
148,1.0,5.0,2.0,2.0,5.0,5.0,4.0,3.0,2,1.0,15.0,14.0,14.0,0,2,2,1,0,0,16,36,0,3,2,6,1,5,0,7,3,8,0,2,1,1,3,2,2,0,0,0,0,2,0,2,2,2,0,0,0,1,0,0,0,0,0,0
149,3.0,3.0,4.0,3.0,7.0,7.0,7.0,8.0,3,2.0,15.0,14.0,14.0,1,3,0,1,3,0,47,31,0,5,2,1,4,0,7,5,3,4,1,2,2,0,3,0,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
150,3.0,4.0,4.0,3.0,6.0,8.0,5.0,4.0,2,1.0,15.0,14.0,14.0,1,2,1,0,3,0,27,36,0,3,2,1,1,6,7,3,5,8,1,2,1,0,3,0,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0
151,2.0,4.0,4.0,4.0,7.0,9.0,7.0,8.0,2,1.0,15.0,14.0,14.0,1,2,0,2,2,1,25,26,0,3,2,1,1,7,0,5,3,8,1,2,1,6,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0
152,2.0,3.0,3.0,4.0,4.0,4.0,6.0,5.0,2,1.0,15.0,14.0,14.0,0,2,1,5,3,0,33,26,1,2,4,7,1,6,5,0,3,8,0,2,1,1,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0
153,3.0,4.0,4.0,3.0,9.0,7.0,6.0,7.0,2,1.0,15.0,14.0,14.0,0,2,0,1,3,0,37,31,0,3,2,6,0,1,5,7,5,8,1,2,1,1,3,0,2,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0
154,2.0,2.0,3.0,3.0,7.0,4.0,4.0,8.0,2,1.0,16.0,13.0,14.0,1,2,1,0,0,0,10,19,0,3,1,2,1,0,6,3,7,8,0,2,1,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,0,2
155,4.0,4.0,5.0,3.0,7.0,6.0,6.0,6.0,2,1.0,16.0,13.0,14.0,0,2,1,1,3,0,34,4,0,3,2,0,1,6,1,3,7,8,1,2,1,5,1,0,2,0,0,0,3,2,0,2,0,0,0,0,2,1,2,0,0,2,2,2
156,4.0,4.0,4.0,5.0,6.0,9.0,8.0,9.0,2,1.0,14.0,16.0,15.0,1,2,1,1,3,0,47,14,0,3,7,3,1,2,6,0,5,8,1,1,1,1,3,2,0,2,2,1,1,0,2,0,0,0,2,0,2,1,2,0,0,2,2,2
157,2.0,2.0,2.0,1.0,6.0,7.0,3.0,9.0,2,1.0,15.0,14.0,15.0,0,2,2,5,2,1,24,36,0,1,4,6,1,7,0,3,5,8,0,2,0,2,3,2,0,2,2,1,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0
158,2.0,4.0,4.0,5.0,7.0,9.0,8.0,7.0,2,1.0,15.0,14.0,15.0,1,2,0,1,3,0,37,16,0,2,4,6,5,1,3,0,7,8,1,2,0,1,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0
159,2.0,4.0,3.0,3.0,7.0,7.0,7.0,7.0,2,1.0,15.0,14.0,15.0,1,2,0,0,0,0,7,4,0,4,2,6,1,1,0,3,7,8,1,2,2,4,3,0,3,0,0,0,0,0,3,2,0,0,0,0,0,1,2,0,0,2,2,0
160,3.0,4.0,4.0,5.0,8.0,8.0,8.0,7.0,3,2.0,15.0,15.0,15.0,1,3,1,0,3,1,41,21,0,3,2,6,0,6,6,6,0,4,1,2,1,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,2,0,0,2,2,0
161,3.0,4.0,5.0,4.0,7.0,8.0,8.0,8.0,2,1.0,15.0,15.0,15.0,1,2,2,2,3,0,16,31,0,3,2,2,1,0,6,6,6,8,1,2,1,1,3,0,2,3,2,0,0,0,0,0,3,2,0,0,0,1,2,0,0,2,2,0
162,3.0,4.0,4.0,4.0,6.0,8.0,8.0,9.0,3,2.0,15.0,15.0,15.0,1,3,0,0,3,1,41,20,0,5,4,2,1,4,0,5,6,11,1,0,1,0,3,3,3,3,2,0,0,0,0,0,3,2,0,0,0,1,2,0,0,2,2,0
163,2.0,3.0,3.0,1.0,2.0,6.0,4.0,5.0,2,1.0,15.0,15.0,15.0,1,2,0,1,2,0,55,36,0,5,0,2,1,4,3,5,7,8,0,2,1,1,3,3,3,3,2,0,0,3,0,0,3,2,0,2,0,1,0,0,0,2,2,0
164,3.0,4.0,4.0,2.0,3.0,5.0,5.0,7.0,2,1.0,15.0,15.0,15.0,0,2,0,0,2,1,44,39,0,5,2,0,4,1,3,5,7,8,1,2,2,1,3,2,0,3,2,2,0,0,0,2,2,2,2,2,0,1,0,0,0,2,2,0
165,3.0,4.0,4.0,4.0,9.0,7.0,7.0,6.0,2,1.0,15.0,15.0,15.0,0,2,1,0,3,0,53,31,0,2,4,0,6,3,1,7,5,8,0,0,2,1,3,0,0,0,3,3,0,0,3,2,0,0,0,2,0,1,0,0,0,2,2,0
166,3.0,4.0,5.0,3.0,9.0,9.0,8.0,7.0,2,1.0,15.0,15.0,15.0,1,2,2,4,2,0,22,14,0,2,4,6,1,0,3,7,5,8,1,1,1,1,3,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,2,2,0
167,3.0,3.0,3.0,5.0,7.0,6.0,6.0,7.0,2,2.0,15.0,15.0,15.0,1,2,1,0,3,1,37,36,1,3,4,2,4,4,4,4,4,32,0,2,1,1,3,2,2,2,2,2,0,2,2,2,2,2,3,2,0,1,0,0,0,2,2,0
168,2.0,4.0,5.0,3.0,8.0,9.0,8.0,9.0,2,1.0,15.0,15.0,15.0,0,2,0,3,2,0,49,13,0,2,6,0,4,3,1,5,7,17,1,2,1,1,3,0,0,2,3,2,2,0,0,0,2,3,2,2,0,1,0,0,0,2,2,0
169,3.0,5.0,5.0,3.0,6.0,8.0,9.0,9.0,2,1.0,15.0,15.0,15.0,1,2,1,1,3,0,38,10,1,3,2,5,7,6,0,3,1,8,1,2,2,1,3,0,2,0,0,2,2,2,0,0,0,1,2,2,0,1,0,0,0,2,2,0
170,4.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,2,1.0,15.0,15.0,15.0,0,2,1,2,3,0,33,2,1,1,4,5,1,2,6,0,3,8,1,2,1,7,1,0,2,0,0,2,3,3,0,2,0,1,2,2,0,0,0,0,0,2,2,2
171,2.0,3.0,3.0,2.0,7.0,5.0,5.0,4.0,3,2.0,16.0,14.0,15.0,0,3,1,3,2,2,43,23,0,2,4,0,6,1,3,5,3,4,0,0,1,0,3,0,2,0,0,3,0,2,0,2,3,2,2,2,0,0,0,0,0,2,2,2
172,3.0,3.0,3.0,2.0,8.0,7.0,5.0,6.0,2,1.0,16.0,14.0,15.0,0,2,1,3,3,2,27,4,0,3,2,1,1,0,7,3,5,8,0,2,1,6,0,0,2,0,0,3,3,0,0,0,3,2,2,2,2,1,0,0,0,2,0,0
173,3.0,5.0,5.0,1.0,7.0,7.0,6.0,5.0,3,2.0,16.0,14.0,15.0,0,3,1,1,2,0,45,38,0,4,0,1,4,2,6,3,7,4,1,2,2,0,3,0,0,2,0,3,3,0,0,2,3,2,3,2,2,1,0,0,0,2,0,0
174,1.0,1.0,1.0,3.0,8.0,8.0,5.0,6.0,2,1.0,16.0,15.0,15.0,0,2,0,0,3,0,11,36,1,4,4,0,1,1,6,7,3,8,0,2,2,2,1,0,0,2,0,3,0,3,0,2,3,2,3,2,2,1,0,3,3,2,2,0
175,3.0,4.0,5.0,3.0,9.0,8.0,8.0,8.0,4,3.0,16.0,15.0,15.0,0,1,0,0,3,0,45,13,1,4,0,8,2,1,1,6,7,30,1,1,2,8,2,3,0,0,0,0,3,3,0,3,3,3,0,2,2,1,0,3,3,2,2,0
176,3.0,3.0,4.0,4.0,8.0,7.0,5.0,8.0,3,2.0,17.0,14.0,15.0,1,3,1,1,3,0,57,0,0,2,4,0,1,7,6,3,5,9,1,1,1,0,3,0,0,0,0,3,0,0,0,0,0,2,3,2,2,1,0,3,3,2,2,0
177,4.0,5.0,5.0,4.0,9.0,9.0,7.0,6.0,4,3.0,14.0,17.0,16.0,1,1,2,1,2,0,41,9,0,2,4,6,0,1,5,7,3,21,1,1,2,8,2,0,0,0,0,3,0,0,0,0,0,2,3,2,2,1,0,3,3,2,2,0
178,3.0,4.0,3.0,4.0,8.0,8.0,8.0,9.0,3,2.0,16.0,15.0,16.0,1,3,0,0,0,0,0,8,0,2,6,5,4,1,3,7,0,4,1,2,2,0,3,3,3,0,0,3,0,3,0,2,3,0,3,2,2,1,0,3,3,2,2,0
179,3.0,4.0,5.0,4.0,9.0,9.0,9.0,9.0,2,1.0,16.0,16.0,16.0,1,2,0,1,0,0,40,31,1,2,4,3,1,6,7,0,5,8,0,2,1,1,3,3,0,3,0,3,0,0,0,0,3,3,3,2,2,1,0,3,3,2,2,0
180,2.0,3.0,4.0,4.0,8.0,6.0,6.0,7.0,3,2.0,16.0,16.0,16.0,1,3,1,3,3,0,17,18,0,3,2,6,5,1,3,0,7,4,1,1,2,0,3,3,0,3,0,3,0,3,0,0,3,3,3,2,2,1,0,3,3,2,2,0
181,1.0,3.0,4.0,5.0,8.0,7.0,7.0,8.0,2,1.0,16.0,16.0,16.0,1,2,0,0,3,0,2,18,0,5,0,2,1,3,4,1,7,8,0,2,1,5,1,3,0,3,0,3,0,3,0,0,3,3,3,2,2,1,0,0,0,2,2,0
182,3.0,4.0,4.0,3.0,9.0,8.0,8.0,7.0,2,1.0,16.0,16.0,16.0,0,2,0,2,2,0,38,22,0,3,2,1,6,5,7,0,3,8,0,2,2,1,3,0,0,3,0,0,2,0,3,0,3,0,2,2,2,1,0,0,0,2,2,0
183,2.0,4.0,5.0,3.0,8.0,8.0,8.0,7.0,3,2.0,16.0,17.0,16.0,1,3,1,2,3,0,15,8,0,2,4,0,6,1,5,7,3,4,1,1,1,0,3,0,3,0,0,0,2,3,3,0,3,0,2,2,2,1,0,0,0,2,2,0
184,2.0,4.0,4.0,3.0,8.0,9.0,9.0,8.0,2,1.0,16.0,17.0,16.0,1,2,1,1,3,0,0,1,0,2,1,6,1,4,3,5,7,8,0,2,2,0,0,0,3,0,0,0,3,3,3,0,3,0,2,2,2,1,0,0,3,2,2,3
185,3.0,4.0,5.0,4.0,8.0,8.0,8.0,9.0,2,1.0,16.0,17.0,16.0,1,2,0,1,2,0,23,0,0,2,5,4,0,6,1,7,3,8,1,2,1,1,3,0,3,0,0,0,3,3,3,0,3,0,2,2,2,1,0,0,3,2,2,3
