record_id,timestamp,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
93,2025/01/08 8:20:53 PM GMT+1,Female,Second year,Mathematics,18-25,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,Yes,Lack of time,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,fighting the urge to go and live in a cottage in the mountains ,3,Yes,4,5,Negatively,8 hours or more,1,9,5,6,7,14.0,13.0,13.0,9.0,9.0,9.0,,,,Low,Moderate,Moderate,Moderate,Very High,High,High,Moderate,Low,Moderate,Moderate,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,Female,Second year,Science,18-25,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,3,No,3,3,,5-7 hours,4,7,5,6,6,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Negatively,Very High,High,High,Moderate,Very High,Moderate,High,Very High,Moderate,,,,,,,,,,,,,
95,,Female,Second year,Science,10-17,At home,In peer,Learning by practicing,"Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,,2,No,3,5,,8 hours or more,3,6,5,5,6,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,High,High,Very High,High,High,High,Very High,High,Moderate,,,,,,,,,,,,,
96,2025/01/08 7:16:52 PM GMT+1,Female,Thirs year,Science,18-25,At home,In peer,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,2,No,3,4,Negatively,5-7 hours,3,7,6,6,6,14.0,13.0,13.0,13.0,12.0,12.0,,,,High,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Very High,High,High,High,Moderate,Low,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,,Pressure,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,2,No,2,3,,8 hours or more,4,8,6,5,8,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,High,High,Very High,High,Moderate,High,High,High,Moderate,,,,,,,,,,,,,
98,2025/01/08 7:29:53 PM GMT+1,Female,Second year,Mathematics,18-25,At home,In peer,Learning by practicing;Online courses and tutorials,Online documents;YouTube videos,Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Pressure,Teaching language,Private life problems,Not having a good (powerful) computer,,1,No,3,3,Positively,5-7 hours,2,7,7,6,6,14.0,13.0,13.0,,,,,,,High,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,Male,Second year,Science,10-17,In the school's library,In peer,"Learning by practicing, Project-based learning, Mind mapping and visualization","YouTube videos, Private courses",No,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,,Bad quality of internet,Lack of time,Private life problems,Not having a good (powerful) computer,,3,Yes,3,5,,8 hours or more,5,6,7,8,6,14.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,Very High,High,Very High,High,High,High,Very High,High,High,,,,,,,,,,,,,
100,2025/01/08 7:40:57 PM GMT+1,Female,Thirs year,Science,10-17,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Teaching language,"Perhaps the challenge lies in the lack of resources for theoretical exercises, or the kind of exos that we find in exams",3,Yes,4,5,Positively,5-7 hours,4,7,8,7,7,14.0,13.0,13.0,13.0,12.0,12.0,,,,High,Moderate,,,High,High,High,,Moderate,Very High,Moderate,High,High,Moderate,Very High,High,Low,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2025/01/10 7:12:10 PM GMT+1,Female,Second year,Science,18-25,At home,Alone,Lectures;Online courses and tutorials,Online documents,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,nothing,2,Yes,4,3,You do not care about,8 hours or more,5,7,8,8,6,14.0,13.0,13.0,,,,,,,High,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2025/01/08 7:51:24 PM GMT+1,Female,Second year,Mathematics,18-25,In the dorms' library,In peer,Learning by practicing,YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,2,No,3,3,Negatively,5-7 hours,2,5,6,6,6,14.0,13.0,13.0,,,,,,,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2025/01/08 9:30:19 PM GMT+1,Female,Thirs year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Pressure,Pressure,Teaching language,Lack of time,Private life problems,,2,Yes,2,2,You do not care about,8 hours or more,4,7,7,7,9,14.0,13.0,13.0,12.0,11.0,11.0,10.0,,10.0,Moderate,Moderate,,,High,High,Moderate,,Moderate,High,High,High,Moderate,High,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,2,Yes,3,3,,5-7 hours,3,6,6,6,8,14.0,13.0,13.0,,,,,,,,,,,,Moderate,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,Negatively,High,High,Very High,High,Moderate,High,Very High,High,Moderate,,,,,,,,,,,,,
105,2025/01/08 6:09:05 PM GMT+1,Female,Thirs year,Technical maths,18-25,In the school's library,With a group,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops,Online tutorials;YouTube videos,Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,,3,Yes,3,5,Positively,5-7 hours,4,8,7,8,7,14.0,13.0,13.0,12.0,12.0,12.0,,,,Moderate,High,,,High,Very High,High,,Moderate,High,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2025/01/08 6:55:24 PM GMT+1,Female,Second year,Mathematics,18-25,In the school's library,With a group,Lectures;Online courses and tutorials,Online documents;YouTube videos,Yes,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Private life problems,Teaching language,Private life problems,Not having a good (powerful) computer,Exhausted at any time ,2,Yes,3,2,Negatively,8 hours or more,2,7,7,7,8,14.0,13.0,13.0,,,,,,,High,High,Moderate,High,High,,High,High,Moderate,Very High,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2025/01/08 6:11:17 PM GMT+1,Female,Thirs year,Science,18-25,At home,In peer,Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Teachers' teaching method,Not having a good (powerful) computer,,3,No,3,5,Positively,5-7 hours,3,8,8,8,8,14.0,13.0,13.0,13.0,11.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,Female,Second year,Mathematics,10-17,At home,Alone,Online courses and tutorials,Online documents,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,,2,No,4,4,,5-7 hours,2,7,6,6,5,15.0,11.0,13.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Negatively,Very High,High,Very High,High,High,Moderate,High,Very High,High,,,,,,,,,,,,,
109,,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,,4,No,4,5,,5-7 hours,2,7,5,3,5,15.0,12.0,13.0,,,,,,,,,,,,High,High,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,Positively,Very High,High,High,High,High,High,Moderate,High,Moderate,,,,,,,,,,,,,
110,,Female,Second year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,,2,Yes,4,4,,5-7 hours,2,9,5,5,7,15.0,12.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,Very High,High,High,Moderate,Very High,Moderate,Very High,Very High,Moderate,,,,,,,,,,,,,
111,,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,,3,Yes,3,4,,5-7 hours,2,8,6,6,5,15.0,12.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,Very High,High,Very High,High,High,High,High,Very High,Moderate,,,,,,,,,,,,,
112,,Female,Second year,Science,18-25,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Pressure,Private life problems,,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,,2,No,3,4,,5-7 hours,3,8,6,7,8,15.0,12.0,13.0,,,,,,,,,,,,High,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Negatively,Very High,High,Very High,High,Very High,Moderate,High,Very High,Moderate,,,,,,,,,,,,,
113,,Male,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,,Not having a good (powerful) computer,Pressure,Bad quality of internet,Teaching language,,2,Yes,5,4,,5-7 hours,4,6,5,7,7,15.0,12.0,13.0,,,,,,,,,,,,Very High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Negatively,Very High,High,Very High,High,High,High,High,High,Low,,,,,,,,,,,,,
114,,Female,Second year,Science,More than 41 hours,In your room (dorms),With a group,Learning by practicing,"Online tutorials, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,2,No,3,4,,5-7 hours,3,8,7,3,8,15.0,12.0,13.0,,,,,,,,,,,,Very High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,Very High,High,Very High,Moderate,High,High,High,High,Moderate,,,,,,,,,,,,,
115,,Male,Second year,Mathematics,18-25,In the school's library,In peer,"Lectures, Learning by practicing, Project-based learning","Books, Online documents, YouTube videos",No,Private life problems,Teachers' teaching method,Pressure,,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,1,No,4,5,,8 hours or more,2,8,7,8,3,15.0,13.0,13.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Negatively,High,High,Very High,High,Moderate,High,High,High,Moderate,,,,,,,,,,,,,
116,2025/01/08 6:40:20 PM GMT+1,Male,Second year,Science,10-17,In your room (dorms),Alone,Mind mapping and visualization;Online courses and tutorials,YouTube videos,No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Pressure,Private life problems,Not having a good (powerful) computer,Bad quality of internet,Teaching language,,2,No,5,4,You do not care about,8 hours or more,3,6,5,4,4,16.0,10.0,13.0,,,,,,,High,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2025/01/08 7:26:17 PM GMT+1,Female,Second year,Science,18-25,At home,Alone,Mind mapping and visualization;Interactive workshops;Online courses and tutorials,YouTube videos;Private courses,Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,,2,Yes,4,2,Positively,8 hours or more,2,5,5,5,4,,,13.0,,,,,,,High,High,Moderate,Moderate,Very High,High,Moderate,Very High,High,Low,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,Male,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, YouTube videos",No,Lack of time,Bad quality of internet,Teachers' teaching method,,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Not having a good (powerful) computer,,3,Yes,4,4,,5-7 hours,4,8,8,7,7,13.0,14.0,14.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,Positively,High,High,High,High,Moderate,High,Very High,Very High,High,,,,,,,,,,,,,
119,2025/01/09 9:08:16 AM GMT+1,Male,Thirs year,Mathematics,10-17,At home,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Pressure,Bad quality of internet,Private life problems,Teaching language,,2,Yes,3,4,You do not care about,5-7 hours,3,8,8,7,7,13.0,14.0,14.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2025/01/09 12:01:26 AM GMT+1,Female,Second year,Science,34-41,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,,3,Yes,3,4,You do not care about,5-7 hours,2,7,4,3,5,13.0,15.0,14.0,,,,,,,Moderate,Moderate,Moderate,Very High,Very High,Moderate,High,Very High,Moderate,High,Very High,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2025/01/08 6:32:02 PM GMT+1,Female,Second year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Pressure,Teaching language,,4,Yes,4,4,You do not care about,8 hours or more,5,7,9,8,9,13.0,15.0,14.0,,,,,,,Very Low,Very High,Very High,Very High,Low,Very Low,High,Very High,High,Very High,High,Very Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2025/01/08 6:18:54 PM GMT+1,Female,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",4,Yes,2,5,Positively,5-7 hours,3,8,9,9,9,13.0,15.0,14.0,13.0,11.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2025/01/08 7:24:12 PM GMT+1,Male,Second year,Mathematics,26-33,In the school's library,Alone,Learning by practicing;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,"ProcrProcrastination especially when we have a lot of projects, tests and deadlines in the same period of time ",3,Yes,3,4,Positively,5-7 hours,2,8,7,7,6,14.0,13.0,14.0,,,,,,,High,High,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2025/01/08 8:04:00 PM GMT+1,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Mind mapping and visualization,Books;Online documents;YouTube videos,No,Teachers' teaching method,Private life problems,Lack of time,Pressure,Pressure,Not having a good (powerful) computer,Lack of time,Bad quality of internet,,2,No,3,4,You do not care about,5-7 hours,3,8,6,6,5,14.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2025/01/08 6:20:18 PM GMT+1,Male,Second year,Science,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books;Online tutorials;Online documents,Yes,Bad quality of internet,Teachers' teaching method,Lack of time,Pressure,Not having a good (powerful) computer,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,,1,Yes,5,5,Positively,8 hours or more,4,8,9,9,7,14.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2025/01/08 7:22:58 PM GMT+1,Male,Second year,Science,34-41,In your room (dorms),In peer,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Lack of time,Teachers' teaching method,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Bad quality of internet,,3,Yes,3,4,You do not care about,5-7 hours,4,7,7,7,8,14.0,14.0,14.0,,,,,,,High,High,Moderate,High,High,High,High,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2025/01/11 11:44:59 AM GMT+1,Male,Second year,Mathematics,34-41,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,No,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Pressure,Bad quality of internet,Lack of time,Not having a good (powerful) computer,,2,No,3,4,Negatively,5-7 hours,3,7,8,7,7,14.0,14.0,14.0,,,,,,,High,Moderate,High,Very High,High,High,High,High,High,Moderate,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2025/01/08 6:11:20 PM GMT+1,Female,Thirs year,Science,34-41,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Pressure,Lack of time,Bad quality of internet,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,,3,Yes,5,5,Positively,5-7 hours,4,8,9,8,7,14.0,14.0,14.0,14.0,14.0,14.0,,,,High,Moderate,,,Very High,High,Moderate,,Low,Moderate,High,High,Moderate,Low,High,Moderate,Low,High,High,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,,Teaching language,Lack of time,Private life problems,Not having a good (powerful) computer,,1,No,2,5,,5-7 hours,1,7,7,7,7,14.0,14.0,14.0,,,,,,,,,,,,High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,Very High,High,High,High,Moderate,High,Very High,High,High,,,,,,,,,,,,,
130,2025/01/08 6:48:11 PM GMT+1,Male,Second year,Technical maths,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;Online documents,Yes,Lack of time,Pressure,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,,3,No,4,4,Positively,5-7 hours,4,5,7,7,6,14.0,14.0,14.0,,,,,,,Moderate,High,High,Very High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2025/01/08 6:19:26 PM GMT+1,Male,Thirs year,Science,10-17,At home,In peer,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,YouTube videos,No,Teaching language,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Pressure,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,4,Yes,3,3,Positively,8 hours or more,5,7,7,7,7,14.0,14.0,14.0,11.0,14.0,12.0,,,,,High,,,High,Moderate,Moderate,,Low,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,High,Moderate,High,Low,Moderate,Moderate,High,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,Male,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,,Teaching language,Bad quality of internet,Lack of time,Not having a good (powerful) computer,,2,Yes,4,4,,8 hours or more,2,7,7,7,8,14.0,14.0,14.0,,,,,,,,,,,,Moderate,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,Positively,Very High,High,High,High,High,High,Very High,Very High,High,,,,,,,,,,,,,
133,2025/01/10 4:30:56 PM GMT+1,Female,Second year,Mathematics,18-25,In the school's library,Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online tutorials;YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,Teachers' teaching method,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Procrastinating ,3,Yes,5,4,Positively,5-7 hours,2,9,7,7,5,14.0,14.0,14.0,,,,,,,High,High,Moderate,Very High,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2025/01/08 8:11:57 PM GMT+1,Male,Second year,Mathematics,10-17,In your room (dorms),In peer,Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Private life problems,Private life problems,Private life problems,Private life problems,Private life problems,Private life problems,Private life problems,Private life problems,Missing web dev midterm exam :'(,3,Yes,4,4,You do not care about,8 hours or more,5,8,9,10,7,14.0,14.0,14.0,,,,,,,High,High,High,Very High,High,Moderate,High,Very High,Moderate,High,Very High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Teachers' teaching method,,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,,3,Yes,4,5,,5-7 hours,4,9,8,7,7,14.0,14.0,14.0,,,,,,,,,,,,Very High,High,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Positively,Very High,High,High,High,High,High,Very High,Very High,High,,,,,,,,,,,,,
