learning_methods_lectures,learning_methods_learning_by_practicing_project-based_learning,average_s1,learning_methods_learning_by_practicing_project-based_learning_interactive_workshops_online_courses_and_tutorials,gender_encoded,learning_methods_lectures_learning_by_practicing_interactive_workshops,resources_used_books_online_tutorials_youtube_videos,learning_methods_lectures_learning_by_practicing_project-based_learning,learning_methods_lectures_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_lectures,resources_used_online_tutorials_online_documents_youtube_videos,external_activities,resources_used_course_material,uses_planner,learning_methods_learning_by_practicing_online_courses_and_tutorials,resources_used_books,resources_used_online_tutorials_youtube_videos,learning_methods_lectures_learning_by_practicing,other_avg,resources_used_online_tutorials,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization,learning_methods_project-based_learning_mind_mapping_and_visualization,learning_methods_interactive_workshops,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization,learning_methods_lectures_online_courses_and_tutorials,study_preference_encoded,resources_used_online_tutorials_online_documents,study_hours_per_week_encoded,sleep_hours_encoded,english_level,cs_level,other_n,ai_interest,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_books_online_documents,resources_used_books_youtube_videos,learning_methods_learning_by_practicing_project-based_learning_online_courses_and_tutorials,learning_methods_project-based_learning,learning_methods_lectures_learning_by_practicing_project-based_learning_online_courses_and_tutorials,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_private_courses,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,resources_used_books_online_documents_youtube_videos,math_avg,programming_n,learning_methods_online_courses_and_tutorials,resources_used_books_online_tutorials_online_documents_youtube_videos,resources_used_chatgpt,resources_used_chatgpt,resources_used_books_online_tutorials_online_documents,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization_interactive_workshops,math_level,all_modules_avg,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,resources_used_chat_gpt,resources_used_youtube_videos,stress_handling,resources_used_just_lectures_nothing_else,math_n,resources_used_books_online_tutorials,learning_methods_mind_mapping_and_visualization,resources_used_slides,study_location_encoded,learning_methods_lectures_learning_by_practicing_online_courses_and_tutorials,programming_level,average_s2,year_ordinal,resources_used_online_documents_youtube_videos,programming_avg,inferred_year,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization,all_modules_n,resources_used_online_documents,bac_specialty_encoded,feedback_influence_encoded,learning_methods_learning_by_practicing_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_resources_provided_by_teachers_(slides),program_satisfaction,motivation_level,learning_methods_learning_by_practicing,average,learning_methods_lectures_learning_by_practicing_project-based_learning_interactive_workshops
0,0,12.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0,0,0,0,0,0,2,0,4,1,7.0,5.0,4,4.0,0,0,0,0,0,0,0,0,0,0,4.25,7,0,0,0,0,0,0,7.0,4.0,0,0,0,4.0,1,4,0,0,0,2,0,5.0,14.0,3,0,3.857142857142857,2.0,0,15,0,0,2,0,0,2.0,3.0,1,14.0,0
0,0,12.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3.25,0,0,0,0,0,0,0,0,6,1,10.0,8.0,4,3.0,1,0,0,0,0,0,0,0,0,0,3.25,7,0,0,0,0,0,0,8.0,3.2,0,0,0,4.0,0,4,0,0,0,0,0,5.0,10.0,3,0,3.142857142857143,2.0,0,15,0,0,2,0,0,2.0,1.0,0,10.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.5,0,0,0,0,0,0,0,0,6,2,7.0,9.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.0,7,0,0,0,0,0,0,8.0,3.1333333333333333,0,0,0,2.0,0,4,0,0,0,1,0,6.0,10.0,3,0,3.0,2.0,0,15,0,0,2,1,0,2.0,4.0,0,10.0,0
0,0,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,6,1,6.0,6.0,4,3.0,0,0,0,0,0,0,0,0,0,0,4.0,7,1,0,0,0,0,0,5.0,3.8,0,0,0,3.0,0,4,0,0,0,2,0,6.0,12.0,3,0,3.7142857142857135,2.0,0,15,0,0,2,0,0,2.0,2.0,0,13.0,0
0,0,12.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3.75,0,0,0,0,0,0,1,0,3,1,7.0,7.0,4,5.0,0,0,0,0,0,0,0,0,0,0,3.75,7,0,0,0,0,0,0,7.0,3.8666666666666663,0,0,0,5.0,0,4,0,0,0,1,0,6.0,13.0,3,0,4.0,2.0,0,15,0,2,2,0,0,3.0,4.0,0,13.0,1
0,0,12.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.75,0,0,0,0,0,1,1,0,3,2,8.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.75,7,0,0,0,0,0,0,8.0,3.733333333333333,0,0,0,2.0,0,4,0,0,0,2,0,6.0,13.0,3,0,3.7142857142857135,2.0,0,15,0,0,2,0,0,2.0,1.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,5,1,8.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.0,7,0,0,0,0,0,0,7.0,3.1333333333333333,0,0,0,2.0,0,4,0,0,0,1,0,6.0,10.0,3,0,3.0,2.0,0,15,0,0,2,1,0,3.0,4.0,0,10.0,0
0,0,12.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,4,1,7.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.5,7,0,0,0,0,0,0,6.0,3.4,0,0,0,3.0,0,4,0,0,0,2,0,6.0,11.0,3,0,3.2857142857142856,2.0,0,15,0,2,2,0,0,2.0,3.0,0,11.0,0
0,0,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,4,1,9.0,6.0,4,5.0,0,0,0,0,0,0,0,0,0,0,3.25,7,0,0,0,0,0,0,5.0,3.1333333333333333,0,0,0,2.0,0,4,0,0,0,2,0,6.0,10.0,3,0,3.0,2.0,0,15,0,0,2,1,0,3.0,3.0,0,10.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3.25,0,0,0,0,0,0,0,0,4,1,10.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.0,7,0,0,0,0,0,0,8.0,3.2,0,0,0,2.0,0,4,0,0,0,0,0,6.0,10.0,3,0,3.2857142857142856,2.0,0,15,0,0,2,0,0,3.0,3.0,0,10.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,3.25,0,0,0,0,0,0,0,0,3,1,8.0,6.0,4,3.0,0,0,0,0,0,0,0,0,0,0,3.75,7,0,0,0,0,0,0,8.0,3.333333333333333,0,0,0,4.0,0,4,0,0,0,2,0,6.0,9.0,3,0,3.142857142857143,2.0,0,15,0,0,2,0,0,3.0,3.0,0,11.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,3,1,8.0,7.0,4,3.0,0,0,1,0,0,0,0,0,0,0,3.25,7,1,0,0,0,0,0,9.0,3.0,0,0,0,3.0,0,4,0,0,0,2,0,7.0,9.0,3,0,2.857142857142857,2.0,0,15,0,0,2,0,0,2.0,3.0,0,9.0,0
0,0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,0,0,0,0,0,0,0,0,3,1,7.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.25,7,0,0,0,0,0,0,6.0,3.933333333333333,0,0,0,2.0,0,4,0,0,0,2,0,7.0,14.0,3,0,4.285714285714286,2.0,0,15,0,0,2,0,0,2.0,4.0,1,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5,0,0,0,0,1,0,0,0,4,1,9.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,1,3.5,7,0,0,0,0,0,0,9.0,3.4,0,0,0,2.0,0,4,0,0,0,2,0,7.0,10.0,3,0,3.2857142857142856,2.0,0,15,0,0,2,0,0,3.0,4.0,0,11.0,0
0,0,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.75,0,0,0,0,1,0,0,0,3,1,6.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,0,4.0,7,0,0,0,0,1,0,7.0,3.933333333333333,0,0,0,3.0,0,4,0,0,0,1,0,7.0,13.0,3,0,4.0,2.0,0,15,0,0,2,0,0,3.0,4.0,0,13.0,0
0,0,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.25,0,0,0,0,0,0,1,0,3,1,8.0,8.0,4,5.0,0,0,0,1,0,0,0,0,0,0,3.25,7,0,0,0,0,0,0,9.0,3.2,0,0,1,4.0,0,4,0,0,0,1,0,7.0,10.0,3,0,3.142857142857143,2.0,0,15,0,0,2,0,0,3.0,3.0,0,10.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,0,0,0,0,0,0,0,0,7,1,7.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,1,3.75,7,0,0,0,0,0,0,8.0,3.6,0,0,0,3.0,0,4,0,0,0,2,1,7.0,11.0,3,0,3.571428571428572,2.0,0,15,0,2,2,0,0,3.0,4.0,0,12.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.75,0,0,0,0,0,0,0,0,7,1,7.0,8.0,4,5.0,0,0,0,1,0,0,0,0,0,1,3.5,7,0,0,0,0,0,0,6.0,3.6666666666666665,0,0,0,3.0,0,4,0,0,0,2,0,7.0,12.0,3,0,3.7142857142857135,2.0,0,15,0,2,2,0,0,2.0,4.0,0,12.0,0
0,0,12.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0,0,0,0,0,0,0,0,0,4,1,10.0,7.0,4,5.0,0,0,0,1,0,0,0,0,0,0,3.5,7,0,1,0,0,0,0,6.0,3.733333333333333,0,0,0,3.0,0,4,0,0,0,1,0,7.0,12.0,3,0,3.7142857142857135,2.0,0,15,0,0,2,0,0,3.0,4.0,0,12.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.75,0,0,0,0,0,0,1,1,4,1,7.0,7.0,4,3.0,0,0,0,0,0,1,0,0,0,0,4.0,7,0,0,0,0,0,0,5.0,3.8666666666666663,0,0,0,3.0,0,4,0,0,0,0,0,7.0,12.0,3,0,3.857142857142857,2.0,0,15,0,0,2,0,0,3.0,3.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,3,2,8.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.75,7,0,0,0,0,0,0,9.0,3.733333333333333,0,0,1,2.0,0,4,0,1,0,2,0,7.0,13.0,3,0,3.4285714285714284,2.0,0,15,0,0,2,0,0,3.0,2.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5,0,0,0,0,0,0,0,0,3,1,7.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.75,7,0,1,0,0,0,0,8.0,3.6666666666666665,1,0,0,2.0,0,4,0,0,0,1,0,7.0,12.0,3,0,3.7142857142857135,2.0,0,15,0,0,2,0,0,1.0,2.0,0,12.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,4,1,10.0,7.0,4,3.0,0,0,0,0,0,0,0,0,0,0,3.25,7,0,0,0,0,0,0,8.0,2.8,0,0,0,4.0,0,4,0,0,0,2,0,7.0,7.0,2,1,2.4285714285714284,2.0,0,15,0,0,2,1,0,2.0,1.0,0,9.0,0
0,0,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.75,0,0,0,0,0,0,0,0,3,1,7.0,7.0,4,5.0,0,0,0,0,0,0,0,0,0,0,3.75,7,1,0,0,0,0,0,9.0,3.6666666666666665,0,0,0,5.0,0,4,0,0,0,0,0,7.0,11.0,3,0,3.571428571428572,2.0,0,15,0,0,2,0,0,1.0,1.0,0,12.0,0
0,0,12.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,0,0,0,0,4,2,8.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,0,4.25,7,0,1,0,0,0,0,6.0,3.933333333333333,0,0,0,3.0,0,4,0,0,0,2,0,7.0,12.0,3,0,3.7142857142857135,2.0,0,15,0,2,2,0,0,2.0,3.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3.25,0,0,0,0,0,0,0,0,3,2,8.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.25,7,0,0,0,0,0,0,9.0,3.2,0,0,0,4.0,0,4,0,0,0,2,0,7.0,10.0,3,0,3.142857142857143,2.0,0,15,0,0,2,0,0,2.0,3.0,0,11.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,0,0,0,0,0,0,0,0,3,2,8.0,6.0,4,1.0,0,0,1,0,0,0,0,0,0,0,3.5,7,0,0,0,0,0,0,2.0,3.533333333333333,0,0,0,3.0,0,4,0,0,0,1,0,8.0,11.0,3,0,3.571428571428572,2.0,0,15,0,0,2,0,0,3.0,1.0,0,11.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,1,0,0,0,0,0,0,5,1,7.0,6.0,4,4.0,0,0,0,0,0,0,0,0,0,1,3.25,7,0,0,0,0,0,0,6.0,3.4,0,0,0,3.0,0,4,0,0,0,2,0,8.0,11.0,3,0,3.4285714285714284,2.0,0,15,0,0,2,0,0,2.0,3.0,0,11.0,0
0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,4,1,9.0,8.0,4,5.0,0,1,0,0,0,0,0,0,0,0,4.0,7,0,0,0,0,0,0,7.0,3.8,0,0,0,3.0,0,4,0,0,0,2,0,8.0,11.0,3,0,3.7142857142857135,2.0,0,15,0,0,2,0,0,3.0,4.0,0,13.0,0
0,0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,0,0,0,0,0,0,0,0,4,1,7.0,8.0,4,5.0,0,0,0,0,0,1,0,0,0,0,4.25,7,0,0,0,0,0,0,8.0,3.933333333333333,0,0,0,4.0,0,4,0,0,0,2,0,8.0,12.0,3,0,3.7142857142857135,2.0,0,15,0,0,2,0,0,3.0,5.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.75,0,0,1,0,0,0,0,0,6,1,8.0,8.0,4,5.0,0,0,0,0,0,0,0,0,0,0,4.0,7,0,0,0,0,0,0,7.0,3.8666666666666663,0,0,0,4.0,0,4,0,0,0,1,0,8.0,12.0,3,0,3.857142857142857,2.0,0,15,0,0,2,0,0,2.0,4.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.0,0,0,0,0,0,0,0,0,3,1,9.0,9.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.75,7,0,0,0,0,0,0,4.0,3.8666666666666663,0,0,0,3.0,0,4,0,0,0,2,0,8.0,13.0,3,0,3.857142857142857,2.0,0,15,1,0,2,0,0,4.0,4.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.25,0,0,0,0,0,0,0,0,3,1,9.0,7.0,4,2.0,0,0,0,0,0,0,0,0,0,0,4.25,7,0,0,0,0,0,0,7.0,4.066666666666666,0,0,0,3.0,0,4,0,0,0,2,0,8.0,12.0,3,0,3.857142857142857,2.0,0,15,0,0,2,1,0,3.0,3.0,0,14.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0,0,0,0,0,0,0,0,3,1,9.0,8.0,4,5.0,0,0,0,0,0,0,1,0,0,0,4.25,7,0,1,0,0,0,0,7.0,4.066666666666666,0,0,0,4.0,0,4,0,0,0,2,0,8.0,13.0,3,0,4.0,2.0,0,15,0,0,2,0,0,3.0,3.0,0,14.0,0
0,0,12.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0,0,0,0,0,0,0,0,0,3,1,9.0,7.0,4,4.0,0,0,0,1,0,0,0,0,0,0,3.75,7,0,0,0,0,0,0,7.0,3.8666666666666663,0,0,0,3.0,0,4,0,0,0,2,0,8.0,12.0,3,0,3.857142857142857,2.0,0,15,0,0,2,0,0,3.0,3.0,0,13.0,0
0,0,12.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.75,0,0,0,0,0,0,1,1,3,1,8.0,8.0,4,5.0,0,0,0,0,0,0,0,0,0,0,4.0,7,0,0,0,0,0,0,9.0,3.733333333333333,0,0,0,3.0,0,4,0,0,0,2,0,8.0,12.0,3,0,3.571428571428572,2.0,0,15,0,0,2,0,0,2.0,3.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,0,0,0,0,0,0,0,0,4,1,9.0,8.0,4,5.0,0,0,0,0,0,1,0,0,0,1,3.5,7,0,0,0,0,0,0,8.0,3.2666666666666666,0,0,0,4.0,0,4,0,0,0,0,0,8.0,9.0,2,0,3.0,2.0,0,15,0,0,2,0,0,3.0,5.0,0,11.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4.0,0,0,0,0,0,0,1,0,5,1,8.0,8.0,4,5.0,0,0,0,0,0,0,0,0,1,0,3.5,7,0,0,0,0,0,0,6.0,3.733333333333333,0,0,0,3.0,0,4,0,0,0,1,0,8.0,11.0,3,0,3.7142857142857135,2.0,0,15,0,2,2,0,0,2.0,3.0,0,12.0,0
0,0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,4,2,7.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,1,4.75,7,0,0,0,0,0,0,7.0,4.4,0,0,0,3.0,0,4,0,0,0,1,0,8.0,15.0,3,0,4.285714285714286,2.0,0,15,0,0,2,1,0,3.0,4.0,0,16.0,0
0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,1,3,2,9.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,0,3.0,7,0,0,0,0,0,0,5.0,3.0,0,0,0,3.0,0,4,0,0,0,0,0,8.0,9.0,3,0,2.857142857142857,2.0,1,15,0,2,2,0,0,3.0,4.0,0,10.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.75,0,1,0,0,0,0,0,0,3,2,8.0,7.0,4,4.0,0,0,0,0,0,0,0,0,0,0,4.0,7,0,0,0,0,0,0,7.0,3.733333333333333,0,0,0,3.0,0,4,0,0,0,2,0,8.0,12.0,3,1,3.571428571428572,2.0,0,15,0,0,2,0,0,3.0,4.0,0,13.0,0
0,0,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.75,0,0,0,0,0,0,0,0,3,2,8.0,8.0,4,3.0,0,0,0,1,0,0,0,0,0,0,3.5,7,0,0,0,0,0,0,2.0,3.733333333333333,0,0,0,5.0,0,4,0,0,0,1,0,8.0,13.0,3,0,3.857142857142857,2.0,0,15,0,0,2,0,0,3.0,3.0,0,13.0,0
0,0,12.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5,0,0,0,0,0,0,0,0,5,1,8.0,7.0,4,5.0,0,0,0,0,0,0,0,0,0,0,3.5,7,0,0,0,0,1,1,8.0,3.333333333333333,0,0,0,4.0,0,4,0,0,0,1,0,8.0,11.0,3,0,3.142857142857143,2.0,0,15,0,2,2,0,0,3.0,4.0,0,11.0,0
0,0,12.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3.5,0,0,0,0,0,0,1,0,3,1,10.0,8.0,4,3.0,0,0,0,0,0,0,0,0,0,0,3.25,7,0,0,0,0,1,0,7.0,3.466666666666667,0,0,0,2.0,0,4,0,0,0,1,0,8.0,12.0,3,0,3.571428571428572,2.0,0,15,0,0,2,0,0,2.0,3.0,0,11.0,0
0,0,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.75,0,0,0,0,0,0,0,0,3,2,6.0,7.0,4,5.0,0,0,0,1,0,0,0,0,0,0,3.5,7,0,0,0,0,0,0,7.0,3.6666666666666665,0,0,0,3.0,0,4,0,0,0,2,0,8.0,12.0,3,0,3.7142857142857135,2.0,0,15,0,0,2,0,0,2.0,4.0,0,12.0,0
0,1,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,3,1,7.0,9.0,4,4.0,0,0,0,0,0,0,0,0,0,0,4.0,7,0,0,0,0,0,0,7.0,4.266666666666667,0,0,0,4.0,0,4,1,0,0,2,0,9.0,14.0,3,0,4.428571428571429,2.0,0,15,0,0,2,0,0,3.0,3.0,0,14.0,0
0,0,12.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,3,1,9.0,10.0,4,5.0,0,0,0,0,0,0,0,0,0,0,4.0,7,0,0,0,0,0,0,6.0,4.266666666666667,0,0,0,3.0,0,4,0,0,0,2,0,10.0,14.0,3,0,4.428571428571429,2.0,0,15,0,0,2,1,0,3.0,5.0,0,14.0,0
