record_id,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,1Y_math_avg,1Y_math_n,1Y_programming_avg,1Y_programming_n,1Y_other_avg,1Y_other_n,1Y_all_modules_avg,1Y_all_modules_n
49,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Project-based learning, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Pressure,Private life problems,Lack of motivation,3.0,Yes,5.0,5.0,You do not care about,4 hours or less,2.0,3.0,5.0,5.0,5.0,Lack of time,Positively,2,1.0,13.0,11.0,12.0,3.2,5,3.5,2,4.0,5,3.5833333333333335,12
50,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,3.0,You do not care about,5-7 hours,2.0,9.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,3.6,5,3.5,2,3.8,5,3.6666666666666665,12
51,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Interactive workshops","Books, YouTube videos",Yes,Bad quality of internet,Not having a good (powerful) computer,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Lack of motivation,2.0,No,2.0,5.0,You do not care about,5-7 hours,3.0,7.0,3.0,2.0,8.0,Pressure,You do not care about,2,1.0,13.0,11.0,12.0,3.8,5,3.0,2,4.2,5,3.8333333333333335,12
52,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Private life problems,Lack of motivation,2.0,Yes,5.0,5.0,You do not care about,5-7 hours,3.0,5.0,5.0,4.0,6.0,Lack of time,Positively,2,1.0,13.0,11.0,12.0,3.6,5,3.5,2,4.0,5,3.75,12
53,Male,Second year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,2.0,4.0,You do not care about,5-7 hours,2.0,8.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,3.4,5,3.5,2,4.4,5,3.8333333333333335,12
54,Male,Second year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,4.0,5.0,You do not care about,5-7 hours,2.0,9.0,4.0,5.0,7.0,Pressure,You do not care about,2,1.0,13.0,11.0,12.0,3.4,5,3.0,2,3.8,5,3.5,12
55,Female,Second year,Science,26-33,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,Lack of motivation,3.0,No,2.0,3.0,Negatively,8 hours or more,2.0,7.0,5.0,3.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,2.5,4,3.0,3,3.4,5,3.0,12
56,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Not having a good (powerful) computer,Teachers' teaching method,Lack of time,Private life problems,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Lack of motivation,2.0,No,1.0,1.0,Positively,8 hours or more,3.0,8.0,7.0,9.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,3.0,4,3.3333333333333335,3,3.4,5,3.25,12
57,Male,Second year,Mathematics,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Pressure,Private life problems,Teachers' teaching method,Teaching language,Lack of motivation,3.0,No,5.0,5.0,Positively,5-7 hours,3.0,8.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,11.0,12.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0
58,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,3.0,5.0,Positively,5-7 hours,3.0,6.0,7.0,7.0,6.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,12.0,3.25,4,3.6666666666666665,3,3.6,5,3.5,12
59,Male,Second year,Mathematics,More than 41 hours,At home,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,3.0,4.0,You do not care about,8 hours or more,3.0,7.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,13.0,12.0,12.0,3.6,5,3.5,2,4.2,5,3.8333333333333335,12
60,Female,Second year,Mathematics,26-33,In the school's library,Alone,Learning by practicing;Mind mapping and visualization,Books;Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,The lack of الشغف,4.0,Yes,5.0,4.0,Positively,8 hours or more,5.0,8.0,7.0,8.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,12.0,12.0,3.0,4,3.6666666666666665,3,4.8,5,3.9166666666666665,12
61,Female,Second year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing,"Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,5.0,4.0,You do not care about,5-7 hours,1.0,8.0,3.0,3.0,6.0,Pressure,Positively,2,1.0,14.0,10.0,12.0,3.4,5,3.5,2,4.2,5,3.75,12
62,Female,Second year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,5.0,5.0,You do not care about,5-7 hours,1.0,8.0,5.0,5.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,10.0,12.0,3.6,5,3.0,2,4.2,5,3.75,12
63,Female,Second year,Science,18-25,In your room (dorms),In peer,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Teachers' teaching method,Pressure,Lack of time,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,3.0,5.0,Negatively,5-7 hours,4.0,8.0,6.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,14.0,10.0,12.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0
64,Female,Second year,Mathematics,26-33,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Bad quality of internet,Teaching language,Lack of motivation,2.0,No,2.0,3.0,You do not care about,5-7 hours,3.0,8.0,5.0,4.0,7.0,Not having a good (powerful) computer,Positively,2,1.0,14.0,11.0,12.0,3.6,5,3.5,2,4.2,5,3.8333333333333335,12
65,Female,Second year,Mathematics,34-41,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Lack of time,Lack of time,Lack of motivation,2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,8.0,7.0,7.0,7.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,14.0,11.0,12.0,3.4,5,3.0,2,4.4,5,3.75,12
66,Female,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online tutorials, Online documents",Yes,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,4.0,2.0,You do not care about,5-7 hours,4.0,8.0,6.0,7.0,7.0,Teachers' teaching method,Negatively,2,1.0,14.0,11.0,12.0,3.4,5,3.0,2,4.4,5,3.75,12
67,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Private life problems,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Lack of motivation,3.0,Yes,5.0,5.0,You do not care about,5-7 hours,4.0,9.0,7.0,7.0,8.0,Not having a good (powerful) computer,You do not care about,2,1.0,14.0,11.0,12.0,3.6,5,4.0,2,4.2,5,3.9166666666666665,12
68,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials",No,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,Yes,2.0,5.0,You do not care about,8 hours or more,1.0,8.0,5.0,4.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,11.0,12.0,3.4,5,3.5,2,4.2,5,3.75,12
69,Male,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,6.0,8.0,7.0,6.0,Teaching language,Negatively,2,1.0,14.0,12.0,12.0,3.4,5,4.0,2,4.0,5,3.75,12
70,Female,Second year,Science,26-33,In your room (dorms),In peer,Lectures;Learning by practicing;Mind mapping and visualization,Books;YouTube videos,No,Teachers' teaching method,Pressure,Private life problems,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,5.0,3.0,Positively,5-7 hours,3.0,7.0,6.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,12.0,13.0,2.75,4,4.0,3,4.0,5,3.5833333333333335,12
71,Female,Second year,Mathematics,34-41,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,No,Pressure,Lack of time,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,3.0,5.0,You do not care about,5-7 hours,4.0,8.0,5.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,12.0,13.0,3.0,4,3.3333333333333335,3,4.2,5,3.5833333333333335,12
72,Male,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,4.0,5.0,You do not care about,8 hours or more,4.0,6.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,13.0,12.0,13.0,3.5,4,3.6666666666666665,3,3.8,5,3.6666666666666665,12
73,Male,Third year,Mathematics,10-17,In your room (dorms),In peer,Lectures;Project-based learning,Online documents;YouTube videos,No,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,Yes,4.0,4.0,Negatively,8 hours or more,4.0,7.0,6.0,7.0,5.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,13.0,3.5,4,4.0,2,3.5,2,3.625,8
74,Male,Second year,Technical maths,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",No,Teaching language,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Lack of motivation,1.0,Yes,2.0,3.0,You do not care about,8 hours or more,3.0,2.0,6.0,6.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,4.2,5,4.0,2,3.8,5,4.0,12
75,Female,Second year,Science,18-25,In the school's library,With a group,Learning by practicing;Project-based learning;Mind mapping and visualization,YouTube videos,Yes,Lack of time,Bad quality of internet,Private life problems,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,Yes,4.0,4.0,Positively,5-7 hours,5.0,8.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,3.25,4,3.6666666666666665,3,3.8,5,3.5833333333333335,12
76,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,Online documents,No,Pressure,Teaching language,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Lack of motivation,2.0,Yes,2.0,3.0,You do not care about,5-7 hours,4.0,6.0,8.0,9.0,7.0,Lack of time,You do not care about,2,1.0,13.0,13.0,13.0,3.8,5,4.0,2,3.8,5,3.8333333333333335,12
77,Female,Second year,Mathematics,34-41,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,Yes,5.0,5.0,You do not care about,5-7 hours,2.0,10.0,9.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,3.25,4,3.6666666666666665,3,3.8,5,3.5833333333333335,12
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,Yes,Private life problems,Lack of time,Pressure,Teachers' teaching method,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",1.0,No,2.0,3.0,You do not care about,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,4.0,4,3.3333333333333335,3,3.75,4,3.727272727272727,11
79,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,Online courses and tutorials,Online tutorials;YouTube videos;Private courses,No,Teachers' teaching method,Lack of time,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,Yes,4.0,4.0,Negatively,5-7 hours,3.0,8.0,8.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,4.0,4,3.6666666666666665,3,3.4,5,3.6666666666666665,12
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,Lack of time,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,3.25,4,3.3333333333333335,3,3.2,5,3.25,12
81,Female,Second year,Science,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat Gpt,No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,Yes,4.0,4.0,Positively,5-7 hours,2.0,7.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,3.25,4,4.0,3,3.4,5,3.5,12
82,Male,Second year,Technical maths,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Pressure,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,No,1.0,2.0,You do not care about,8 hours or more,1.0,3.0,4.0,2.0,3.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,13.0,13.0,2.75,4,3.0,3,1.4,5,2.25,12
83,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Mind mapping and visualization;Online courses and tutorials,Books;Online documents,Yes,Lack of time,Pressure,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Bad quality of internet,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,No,3.0,3.0,Negatively,8 hours or more,2.0,7.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,13.0,13.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,Yes,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,Yes,4.0,4.0,You do not care about,5-7 hours,4.0,9.0,7.0,9.0,8.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0
85,Female,Third year,Science,26-33,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents,No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,2.0,4.0,Negatively,5-7 hours,5.0,8.0,7.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,13.0,13.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,14.0,13.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0
87,Female,Second year,Science,26-33,In the school's library,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,No,4.0,5.0,You do not care about,5-7 hours,3.0,7.0,7.0,8.0,9.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,14.0,12.0,13.0,4.0,5,3.5,2,4.2,5,4.0,12
88,Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Teaching language,Lack of motivation,2.0,Yes,3.0,3.0,You do not care about,5-7 hours,2.0,9.0,3.0,4.0,7.0,Private life problems,Positively,2,1.0,14.0,12.0,13.0,3.8,5,3.0,2,4.4,5,3.9166666666666665,12
89,Male,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Feeling like the program is not really going to be that useful in the future wich leads to me not putting that much effort (less so in this year however),3.0,Yes,4.0,4.0,Positively,5-7 hours,3.0,9.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,12.0,13.0,3.25,4,3.3333333333333335,3,4.4,5,3.75,12
90,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Lack of time,Teachers' teaching method,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,No,4.0,4.0,Negatively,8 hours or more,3.0,7.0,7.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,12.0,13.0,3.25,4,3.6666666666666665,3,4.0,5,3.6666666666666665,12
91,Male,Second year,Mathematics,10-17,In the school's library,Alone,Lectures,Books;YouTube videos,No,Bad quality of internet,Lack of time,Teachers' teaching method,Pressure,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Lack of motivation,1.0,No,2.0,2.0,You do not care about,5-7 hours,4.0,7.0,7.0,5.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,12.0,13.0,2.75,4,2.6666666666666665,3,3.6,5,3.0833333333333335,12
92,Male,Second year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teachers' teaching method,Pressure,Lack of time,Lack of motivation,1.0,Yes,1.0,3.0,You do not care about,5-7 hours,5.0,9.0,9.0,9.0,8.0,Teachers' teaching method,You do not care about,2,1.0,14.0,13.0,13.0,4.0,5,4.0,2,3.8,5,3.9166666666666665,12
93,Female,Second year,Mathematics,18-25,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,Yes,Lack of time,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,fighting the urge to go and live in a cottage in the mountains,3.0,Yes,4.0,5.0,Negatively,8 hours or more,1.0,9.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,14.0,13.0,13.0,2.5,4,3.3333333333333335,3,4.0,5,3.3333333333333335,12
94,Female,Second year,Science,18-25,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,3.0,No,3.0,3.0,You do not care about,5-7 hours,4.0,7.0,5.0,6.0,6.0,Pressure,Negatively,2,1.0,14.0,13.0,13.0,3.4,5,3.5,2,4.6,5,3.9166666666666665,12
95,Female,Second year,Science,10-17,At home,In peer,Learning by practicing,"Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,No,3.0,5.0,You do not care about,8 hours or more,3.0,6.0,5.0,5.0,6.0,Pressure,You do not care about,2,1.0,14.0,13.0,13.0,4.0,5,4.0,2,4.0,5,4.0,12
96,Female,Third year,Science,18-25,At home,In peer,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,3.0,4.0,Negatively,5-7 hours,3.0,7.0,6.0,6.0,6.0,Bad quality of internet,You do not care about,3,2.0,14.0,13.0,13.0,3.5,4,3.3333333333333335,3,3.8,5,3.5833333333333335,12
97,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,No,2.0,3.0,You do not care about,8 hours or more,4.0,8.0,6.0,5.0,8.0,Lack of time,You do not care about,2,1.0,14.0,13.0,13.0,3.8,5,4.0,2,3.8,5,3.8333333333333335,12
